text,intent,region
# Món ăn Phú Quốc
Bánh canh cua Phú Quốc,tim_mon_an,phu_quoc
Hải sản Phú Quốc tươi,tim_mon_an,phu_quoc
Ghẹ hấp Phú Quốc,tim_mon_an,phu_quoc
Nhum biển Phú Quốc,tim_mon_an,phu_quoc
Gỏi cá trích Phú Quốc,tim_mon_an,phu_quoc

# Địa điểm Phú Quốc
Phú Quốc nên đi đâu,tim_dia_diem,phu_quoc
Phú Quốc có gì vui,tim_dia_diem,phu_quoc
Bãi Sao Phú Quốc,tim_dia_diem,phu_quoc
Vinpearl Safari Phú Quốc,tim_dia_diem,phu_quoc
Dinh Cậu Phú Quốc,tim_dia_diem,phu_quoc
Chợ đêm Phú Quốc,tim_dia_diem,phu_quoc

# Thời tiết Phú Quốc
Phú Quốc thời tiết thế nào,hoi_thoi_tiet,phu_quoc
Phú Quốc có mưa không,hoi_thoi_tiet,phu_quoc
Phú Quốc nắng không,hoi_thoi_tiet,phu_quoc
