text,intent,region
# Món ăn Đà Lạt
Lẩu bò Đà Lạt ngon không,tim_mon_an,da_lat
Bánh tráng trộn Đà Lạt,tim_mon_an,da_lat
Sinh tố bơ Đà Lạt,tim_mon_an,da_lat
Kem bơ Đà Lạt ở đâu,tim_mon_an,da_lat
Sữa chua nếp cẩm Đà Lạt,tim_mon_an,da_lat
Cà phê Đà Lạt nào ngon,tim_mon_an,da_lat
Dâu tây Đà Lạt,tim_mon_an,da_lat
Bánh mì xíu mại Đà Lạt,tim_mon_an,da_lat

# Địa điểm Đà Lạt
Địa điểm du lịch Đà Lạt,tim_dia_diem,da_lat
Đà Lạt có gì hay,tim_dia_diem,da_lat
Hồ Xuân Hương Đà Lạt,tim_dia_diem,da_lat
Thác Datanla Đà Lạt,tim_dia_diem,da_lat
Đồi chè Cầu Đất,tim_dia_diem,da_lat
Ga Đà Lạt cổ kính,tim_dia_diem,da_lat
Thiền viện Trúc Lâm,tim_dia_diem,da_lat

# Thời tiết Đà Lạt
Đà Lạt lạnh không,hoi_thoi_tiet,da_lat
Đà Lạt sương mù không,hoi_thoi_tiet,da_lat
Đà Lạt sương mù nhiều không,hoi_thoi_tiet,da_lat
Đà Lạt thời tiết thế nào,hoi_thoi_tiet,da_lat
