text,intent
Gần đây có gì,hoi_vi_tri
Quanh đây có gì,hoi_vi_tri
Xung quanh có gì,hoi_vi_tri
Lân cận có gì,hoi_vi_tri
Gần tôi có gì,hoi_vi_tri
Gần chỗ tôi có gì,hoi_vi_tri
Quanh chỗ này có gì,hoi_vi_tri
Địa điểm gần đây,hoi_vi_tri
Tìm gần đây,hoi_vi_tri
Nearby,hoi_vi_tri
Around here,hoi_vi_tri
Gần đây có địa điểm nào,hoi_vi_tri
Gần đây có chỗ nào hay,hoi_vi_tri
Gần đây đi đâu chơi,hoi_vi_tri
Gần đây có gì thú vị,hoi_vi_tri
Checkin gần đây,hoi_vi_tri
Du lịch gần đây,hoi_vi_tri
Tham quan gần đây,hoi_vi_tri
Khám phá gần đây,hoi_vi_tri
Tour gần đây,hoi_vi_tri
Gần đây có gì vui,hoi_vi_tri
Gần đây có gì đẹp,hoi_vi_tri
Gần đây có gì hay ho,hoi_vi_tri
Quanh đây có chỗ nào vui,hoi_vi_tri
Xung quanh có địa điểm nào,hoi_vi_tri
Lân cận có chỗ nào hay,hoi_vi_tri
nhà nghỉ gần đây,hoi_vi_tri
Gần đây có nhà nghỉ nào,hoi_vi_tri
Tìm nhà nghỉ gần đây,hoi_vi_tri
nhà nghỉ gần tôi,hoi_vi_tri
nhà nghỉ quanh đây,hoi_vi_tri
nhà nghỉ xung quanh,hoi_vi_tri
nhà nghỉ lân cận,hoi_vi_tri
Gần đây nhà nghỉ nào hay,hoi_vi_tri
Gợi ý nhà nghỉ gần đây,hoi_vi_tri
nhà nghỉ gần chỗ tôi,hoi_vi_tri
Quanh đây có nhà nghỉ nào,hoi_vi_tri
Xung quanh có nhà nghỉ nào,hoi_vi_tri
Lân cận có nhà nghỉ nào,hoi_vi_tri
khách sạn gần đây,hoi_vi_tri
Gần đây có khách sạn nào,hoi_vi_tri
Tìm khách sạn gần đây,hoi_vi_tri
khách sạn gần tôi,hoi_vi_tri
khách sạn quanh đây,hoi_vi_tri
khách sạn xung quanh,hoi_vi_tri
