text,intent,region
# Món ăn Hà Nội
Tìm quán phở ngon ở Hà Nội,tim_mon_an,ha_noi
Phở bò Hà Nội ăn ở đâu,tim_mon_an,ha_noi
Quán bún chả Hà Nội nào ngon nhất,tim_mon_an,ha_noi
Phở cuốn Hà Nội ở đâu,tim_mon_an,ha_noi
Bún riêu cua Hà Nội nào ngon,tim_mon_an,ha_noi
Chả cá Lã Vọng có ngon không,tim_mon_an,ha_noi
Bánh cuốn Thanh Trì ở đâu,tim_mon_an,ha_noi
Bún đậu mắm tôm Hà Nội quán nào,tim_mon_an,ha_noi
Cà phê sữa đá Hà Nội,tim_mon_an,ha_noi
Bánh tôm Hồ Tây ngon không,tim_mon_an,ha_noi

# Địa điểm Hà Nội
Nên đi đâu ở Hà Nội,tim_dia_diem,ha_noi
Hồ Hoàn Kiếm đẹp không,tim_dia_diem,ha_noi
Hồ Gươm Hà Nội có gì hay,tim_dia_diem,ha_noi
Chùa Một Cột ở đâu,tim_dia_diem,ha_noi
Lăng Bác có mở cửa không,tim_dia_diem,ha_noi
Văn Miếu Quốc Tử Giám tham quan,tim_dia_diem,ha_noi
Phố cổ Hà Nội đi bộ,tim_dia_diem,ha_noi
Hồ Tây có gì vui,tim_dia_diem,ha_noi
Cầu Long Biên đẹp không,tim_dia_diem,ha_noi
Hoàng Thành Thăng Long,tim_dia_diem,ha_noi

# Thời tiết Hà Nội
Hôm nay Hà Nội thời tiết thế nào,hoi_thoi_tiet,ha_noi
Hà Nội rét không,hoi_thoi_tiet,ha_noi
Hà Nội lạnh không,hoi_thoi_tiet,ha_noi
Hà Nội có mưa không,hoi_thoi_tiet,ha_noi
Hà Nội nắng không,hoi_thoi_tiet,ha_noi
