id,name,type,description,location,tags
# Nha Trang
MON_NT001,Nem Nướng Nha Trang,food,Nem nướng thơm ngon với thịt heo ướp gia vị đặc biệt. Ăn kèm bánh tráng và rau sống tươi mát. Chấm nước mắm chua ngọt đậm đà.,Nha Trang,"nem nướng, nha trang, nướng, bánh tráng"
MON_NT002,Bún Cá Nha Trang,food,Bún cá với nước dùng ngọt thanh từ cá tươi. Chả cá và rau sống. Món ăn sáng phổ biến ở Nha Trang.,Nha Trang,"bún cá, nha trang, cá, bún"
MON_NT003,Hải Sản Nha Trang,food,Hải sản tươi sống đa dạng từ tôm hùm đến cua ghẹ. Chế biến đơn giản giữ nguyên vị ngọt. Đặc sản của biển Nha Trang.,Nha Trang,"hải sản, nha trang, tôm, cua, tươi sống"

# Đà Lạt
MON_DL001,Lẩu Bò Đà Lạt,food,Lẩu bò với nước dùng thanh ngọt từ xương. Thịt bò tươi ngon kết hợp rau Đà Lạt. Không khí se lạnh làm món lẩu thêm hấp dẫn.,Đà Lạt,"lẩu bò, đà lạt, bò, rau, se lạt"
MON_DL002,Bánh Tráng Trộn,food,Bánh tráng trộn với trứng cút và khô bò. Rau răm và nước mắm chua ngọt. Món ăn vặt độc đáo của Đà Lạt.,Đà Lạt,"bánh tráng, đà lạt, trộn, ăn vặt"
MON_DL003,Sinh Tố Bơ,food,Sinh tố bơ béo ngậy từ bơ Đà Lạt tươi. Sữa đặc và đá xay mịn. Thức uống giải nhiệt phổ biến.,Đà Lạt,"sinh tố, bơ, đà lạt, thức uống"

# Phú Quốc
MON_PQ001,Hải Sản Phú Quốc,food,Hải sản tươi sống đa dạng từ ghẹ đến nhum biển. Chế biến đơn giản giữ nguyên vị ngọt tự nhiên. Đặc sản của đảo ngọc.,Phú Quốc,"hải sản, phú quốc, ghẹ, nhum, tươi sống"
MON_PQ002,Gỏi Cá Trích,food,Gỏi cá trích tươi với rau sống và đậu phộng. Nước mắm chua ngọt đặc biệt. Món ăn đặc trưng Phú Quốc.,Phú Quốc,"gỏi cá, trích, phú quốc, tươi"

# Vũng Tàu
MON_VT001,Bánh Khọt Vũng Tàu,food,Bánh khọt giòn rụm với nhân tôm tươi. Ăn kèm rau sống và nước mắm chua ngọt. Đặc sản nổi tiếng của Vũng Tàu.,Vũng Tàu,"bánh khọt, vũng tàu, tôm, giòn"
MON_VT002,Lẩu Cá Đuối,food,Lẩu cá đuối với nước dùng chua cay. Cá đuối tươi và rau sống. Món ăn đặc sản của Vũng Tàu.,Vũng Tàu,"lẩu, cá đuối, vũng tàu, chua cay"

# Cần Thơ
MON_CT001,Bánh Xèo Miền Tây,food,Bánh xèo giòn rụm với nhân tôm thịt đầy đặn. Rau sống và nước mắm chua ngọt. Đặc sản miền Tây Nam Bộ.,Cần Thơ,"bánh xèo, miền tây, cần thơ, giòn, tôm"
MON_CT002,Cá Lóc Nướng Trui,food,Cá lóc nướng trui thơm lừng. Ăn kèm bánh tráng và rau sống. Món ăn dân dã của miền Tây.,Cần Thơ,"cá lóc, nướng, cần thơ, miền tây"
