id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
DIA_CT00763,365 Home Cần Thơ,Du lịch,nhà nghỉ,10.0217825,105.7445766,"Đường Số 7, An Bình, Ninh Kiều, Cần Thơ, 94118",Quận Ninh Kiều,365 Home Cần Thơ là nhà nghỉ tại Quận Ninh Kiều.,365 Home Cần Thơ Du lịch nhà nghỉ Quận Ninh Kiều
DIA_CT00550,@HOME,Du lịch,khách sạn,10.0339698,105.7748987,"Đường Trần Hưng Đạo, An Nghiệp, Ninh Kiều, Cần Thơ, 94109",Quận Ninh Kiều,@HOME là khách sạn tại Quận Ninh Kiều.,@HOME Du lịch khách sạn Quận Ninh Kiều
DIA_CT00210,AN Hotel,Du lịch,khách sạn,10.01718,105.783298,"39 Đường B17, Hưng Phú, Cái Răng, Cần Thơ, 94912",Quận Cái Răng,AN Hotel là khách sạn tại Quận Cái Răng.,AN Hotel Du lịch khách sạn Quận Cái Răng
DIA_CT01012,Amidi homestay and coffee,Du lịch,nhà khách/homestay,10.377502,105.442246,"Đường Lý Thái Tổ, Mỹ Long, An Giang, 90106",,Amidi homestay and coffee là nhà khách/homestay tại TP. Cần Thơ.,Amidi homestay and coffee Du lịch nhà khách/homestay
DIA_CT00819,An Thới,Du lịch,chợ truyền thống,10.061679,105.7654217,"14 Đường Đặng Thị Nhường, Bùi Hữu Nghĩa, Bình Thủy, Cần Thơ, 94207",Quận Bình Thủy,An Thới là chợ truyền thống tại Quận Bình Thủy.,An Thới Du lịch chợ truyền thống Quận Bình Thủy
DIA_CT00992,An khang,Du lịch,nhà nghỉ,10.3779482,105.4247554,"Đường Hà Hoàng Hổ, Mỹ Hòa, An Giang, 90115",,An khang là nhà nghỉ tại TP. Cần Thơ.,An khang Du lịch nhà nghỉ
DIA_CT00190,Anh Dao Mekong Hotel,Du lịch,khách sạn,10.0310383,105.7850669,"79 Đường Nguyễn An Ninh, An Lạc, Ninh Kiều, Cần Thơ, 94113",Quận Ninh Kiều,Anh Dao Mekong Hotel là khách sạn tại Quận Ninh Kiều.,Anh Dao Mekong Hotel Du lịch khách sạn Quận Ninh Kiều
DIA_CT00568,Anh Thư,Du lịch,nhà nghỉ,10.03571,105.7440349,"Bình Thủy, Cần Thơ",Quận Bình Thủy,Anh Thư là nhà nghỉ tại Quận Bình Thủy.,Anh Thư Du lịch nhà nghỉ Quận Bình Thủy
DIA_CT00566,Balo House,Du lịch,khách sạn,10.0458201,105.7837117,"40 Đường Lý Hồng Thanh, Cái Khế, Ninh Kiều, Cần Thơ, 94107",Quận Ninh Kiều,Balo House là khách sạn tại Quận Ninh Kiều.,Balo House Du lịch khách sạn Quận Ninh Kiều
DIA_CT00883,Bamboo Eco Village,Du lịch,khách sạn,10.0074606,105.7054798,"Phong Điền, Cần Thơ",Huyện Phong Điền,Bamboo Eco Village là khách sạn tại Huyện Phong Điền.,Bamboo Eco Village Du lịch khách sạn Huyện Phong Điền
DIA_CT00588,Bang Bang Motel,Du lịch,nhà nghỉ,10.0389929,105.783446,"96 Đường Xô Viết Nghệ Tĩnh, An Hội, Ninh Kiều, Cần Thơ, 94111",Quận Ninh Kiều,Bang Bang Motel là nhà nghỉ tại Quận Ninh Kiều.,Bang Bang Motel Du lịch nhà nghỉ Quận Ninh Kiều
DIA_CT00979,Bang Lang Bird sanctuary,Du lịch,địa điểm du lịch,10.2814588,105.5052518,"Thốt Nốt, Cần Thơ",Quận Thốt Nốt,Bang Lang Bird sanctuary là địa điểm du lịch tại Quận Thốt Nốt.,Bang Lang Bird sanctuary Du lịch địa điểm du lịch Quận Thốt Nốt
DIA_CT00672,Buddha Homestay,Du lịch,khách sạn,10.0375503,105.7801914,"Hẻm 137 Hoàng Văn Thụ, An Cư, Ninh Kiều, Cần Thơ, 94110",Quận Ninh Kiều,Buddha Homestay là khách sạn tại Quận Ninh Kiều.,Buddha Homestay Du lịch khách sạn Quận Ninh Kiều
DIA_CT00306,BumBum Hostel,Du lịch,khách sạn,10.0323606,105.7804243,"12B Đường Lê Lai, An Phú, Ninh Kiều, Cần Thơ, 94114",Quận Ninh Kiều,BumBum Hostel là khách sạn tại Quận Ninh Kiều.,BumBum Hostel Du lịch khách sạn Quận Ninh Kiều
DIA_CT01055,Bùng Binh Lai Vung,Du lịch,công viên,10.2566885,105.5931887,"Quốc Lộ 54, Tân Thành, Lai Vung, Đồng Tháp, 81761",,Bùng Binh Lai Vung là công viên tại TP. Cần Thơ.,Bùng Binh Lai Vung Du lịch công viên
DIA_CT01042,Bảo tàng An Giang,Du lịch,bảo tàng,10.3895965,105.4355439,"11 Đường Tôn Đức Thắng, Long Xuyên, An Giang",,Bảo tàng An Giang là bảo tàng tại TP. Cần Thơ.,Bảo tàng An Giang Du lịch bảo tàng
DIA_CT00784,Bảo tàng Hồ Chí Minh,Du lịch,bảo tàng,10.0358023,105.7858248,"93 Đường Xô Viết Nghệ Tĩnh, An Cư, Ninh Kiều, Cần Thơ, 94110",Quận Ninh Kiều,Bảo tàng Hồ Chí Minh là bảo tàng tại Quận Ninh Kiều.,Bảo tàng Hồ Chí Minh Du lịch bảo tàng Quận Ninh Kiều
DIA_CT00936,Bảo tàng Quân khu 9,Du lịch,bảo tàng,10.0360876,105.7852318,"Bảo Tàng Quân Khu 9, 6 Đường Hòa Bình, An Cư, Ninh Kiều, Cần Thơ",Quận Ninh Kiều,Bảo tàng Quân khu 9 là bảo tàng tại Quận Ninh Kiều.,Bảo tàng Quân khu 9 Du lịch bảo tàng Quận Ninh Kiều
DIA_CT00778,Bảo tàng thành phố Cần Thơ,Du lịch,bảo tàng,10.0349853,105.7868039,"1 Đường Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ",Quận Ninh Kiều,Bảo tàng thành phố Cần Thơ là bảo tàng tại Quận Ninh Kiều.,Bảo tàng thành phố Cần Thơ Du lịch bảo tàng Quận Ninh Kiều
DIA_CT00258,Bờ kè sông Hậu,Du lịch,địa điểm du lịch,10.049048,105.7910388,"Ninh Kiều, Cần Thơ",Quận Ninh Kiều,Bờ kè sông Hậu là địa điểm du lịch tại Quận Ninh Kiều.,Bờ kè sông Hậu Du lịch địa điểm du lịch Quận Ninh Kiều
DIA_CT00649,Chang's Hostel,Du lịch,khách sạn,10.0350756,105.7807492,"14/17 Đường Đề Thám, An Cư, Ninh Kiều, Cần Thơ, 94110",Quận Ninh Kiều,Chang's Hostel là khách sạn tại Quận Ninh Kiều.,Chang's Hostel Du lịch khách sạn Quận Ninh Kiều
DIA_CT00545,Chiến Công,Du lịch,nhà nghỉ,10.0689297,105.7567334,"Hẻm 512 Cách Mạng Tháng 8, Bùi Hữu Nghĩa, Bình Thủy, Cần Thơ, 94207",Quận Bình Thủy,Chiến Công là nhà nghỉ tại Quận Bình Thủy.,Chiến Công Du lịch nhà nghỉ Quận Bình Thủy
DIA_CT00960,Châu Văn Liêm,Du lịch,công viên,10.1093057,105.6189756,"529/6 Đường 26 Tháng 3, Ô Môn, Cần Thơ, 94306",Quận Ô Môn,Châu Văn Liêm là công viên tại Quận Ô Môn.,Châu Văn Liêm Du lịch công viên Quận Ô Môn
DIA_CT00924,Chợ nổi Cái Răng,Du lịch,chợ truyền thống,10.0024853,105.7451729,"Đường Võ Tánh, Cái Răng, Cần Thơ, 94906",Quận Cái Răng,Chợ nổi Cái Răng là chợ truyền thống tại Quận Cái Răng.,Chợ nổi Cái Răng Du lịch chợ truyền thống Quận Cái Răng
DIA_CT00815,Chợ,Du lịch,chợ truyền thống,10.0345465,105.7819331,"Cửa Hàng Giò Chả 69 & Giò Chả Hương Việt, 82 Đường Đề Thám, An Cư, Ninh Kiều, Cần Thơ, 94110",Quận Ninh Kiều,Chợ là chợ truyền thống tại Quận Ninh Kiều.,Chợ Du lịch chợ truyền thống Quận Ninh Kiều
DIA_CT00792,Chợ An Bình,Du lịch,chợ truyền thống,10.0077395,105.7491842,"Đường Lộ Vòng Cung, An Bình, Ninh Kiều, Cần Thơ, 94118",Quận Ninh Kiều,Chợ An Bình là chợ truyền thống tại Quận Ninh Kiều.,Chợ An Bình Du lịch chợ truyền thống Quận Ninh Kiều
DIA_CT00826,Chợ An Cư,Du lịch,chợ truyền thống,10.0376168,105.781064,"48 Hẻm 107/68 Hoàng Văn Thụ, An Cư, Ninh Kiều, Cần Thơ, 94110",Quận Ninh Kiều,Chợ An Cư là chợ truyền thống tại Quận Ninh Kiều.,Chợ An Cư Du lịch chợ truyền thống Quận Ninh Kiều
DIA_CT00142,Chợ An Hòa,Du lịch,chợ truyền thống,10.0491642,105.7724079,"Ninh Kiều, Cần Thơ",Quận Ninh Kiều,Chợ An Hòa là chợ truyền thống tại Quận Ninh Kiều.,Chợ An Hòa Du lịch chợ truyền thống Quận Ninh Kiều
DIA_CT00693,Chợ An Khánh,Du lịch,chợ truyền thống,10.0389576,105.7544119,"Đường Số 17, An Khánh, Ninh Kiều, Cần Thơ, 94117",Quận Ninh Kiều,Chợ An Khánh là chợ truyền thống tại Quận Ninh Kiều.,Chợ An Khánh Du lịch chợ truyền thống Quận Ninh Kiều
DIA_CT00206,Chợ An Lạc,Du lịch,chợ truyền thống,10.0256729,105.783137,"117 Đường Nguyễn Thị Minh Khai, Tân An, Ninh Kiều, Cần Thơ, 94113",Quận Ninh Kiều,Chợ An Lạc là chợ truyền thống tại Quận Ninh Kiều.,Chợ An Lạc Du lịch chợ truyền thống Quận Ninh Kiều
DIA_CT00571,Chợ Bà Bộ,Du lịch,chợ truyền thống,10.0367957,105.7448494,"Đường Nguyễn Văn Linh, Bình Thủy, Cần Thơ, 94117",Quận Bình Thủy,Chợ Bà Bộ là chợ truyền thống tại Quận Bình Thủy.,Chợ Bà Bộ Du lịch chợ truyền thống Quận Bình Thủy
DIA_CT00871,Chợ Bình Minh,Du lịch,chợ truyền thống,10.0672019,105.822355,"Đường Phan Văn Năm, Cái Vồn, Bình Minh, Vĩnh Long, 85506",,Chợ Bình Minh là chợ truyền thống tại TP. Cần Thơ.,Chợ Bình Minh Du lịch chợ truyền thống
DIA_CT00782,Chợ Cái Khế,Du lịch,chợ truyền thống,10.0439306,105.7844845,"Đường Lý Hồng Thanh, Cái Khế, Ninh Kiều, Cần Thơ, 94107",Quận Ninh Kiều,Chợ Cái Khế là chợ truyền thống tại Quận Ninh Kiều.,Chợ Cái Khế Du lịch chợ truyền thống Quận Ninh Kiều
DIA_CT00184,Chợ Cái Răng,Du lịch,chợ truyền thống,10.0060066,105.7509847,"Đường Lý Thường Kiệt, Cái Răng, Cần Thơ, 94906",Quận Cái Răng,Chợ Cái Răng là chợ truyền thống tại Quận Cái Răng.,Chợ Cái Răng Du lịch chợ truyền thống Quận Cái Răng
DIA_CT01039,Chợ Cái Sao,Du lịch,chợ truyền thống,10.346674,105.4684731,"Đường Trần Quý Cáp, Mỹ Thới, An Giang, 90117",,Chợ Cái Sao là chợ truyền thống tại TP. Cần Thơ.,Chợ Cái Sao Du lịch chợ truyền thống
DIA_CT00963,Chợ Cái Sơn,Du lịch,chợ truyền thống,10.2445423,105.6065289,"Quốc Lộ 54, Tân Thành, Lai Vung, Đồng Tháp, 81761",,Chợ Cái Sơn là chợ truyền thống tại TP. Cần Thơ.,Chợ Cái Sơn Du lịch chợ truyền thống
DIA_CT00872,Chợ Cái Vồn,Du lịch,chợ truyền thống,10.0655451,105.822719,"Cái Vồn, Bình Minh, Vĩnh Long",,Chợ Cái Vồn là chợ truyền thống tại TP. Cần Thơ.,Chợ Cái Vồn Du lịch chợ truyền thống
DIA_CT00179,Chợ Cần Thơ,Du lịch,chợ truyền thống,10.0280618,105.7870934,"85 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ, 94112",Quận Ninh Kiều,Chợ Cần Thơ là chợ truyền thống tại Quận Ninh Kiều.,Chợ Cần Thơ Du lịch chợ truyền thống Quận Ninh Kiều
DIA_CT00939,Chợ Cần Thơ Bé,Du lịch,chợ truyền thống,10.2253858,105.5530469,"Đường Quốc Lộ 91, Trung Kiên, Thốt Nốt, Cần Thơ, 94411",Quận Thốt Nốt,Chợ Cần Thơ Bé là chợ truyền thống tại Quận Thốt Nốt.,Chợ Cần Thơ Bé Du lịch chợ truyền thống Quận Thốt Nốt
DIA_CT01053,Chợ Hòa Lạc,Du lịch,chợ truyền thống,10.3328435,105.5094459,"Quốc Lộ 54, Định An, Lấp Vò, Đồng Tháp, 81708",,Chợ Hòa Lạc là chợ truyền thống tại TP. Cần Thơ.,Chợ Hòa Lạc Du lịch chợ truyền thống
DIA_CT00181,Chợ Hưng Lợi,Du lịch,chợ truyền thống,10.0238579,105.7617067,"Đường Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ, 94116",Quận Ninh Kiều,Chợ Hưng Lợi là chợ truyền thống tại Quận Ninh Kiều.,Chợ Hưng Lợi Du lịch chợ truyền thống Quận Ninh Kiều
DIA_CT00934,Chợ Khu Công Nghiệp Bình Minh,Du lịch,chợ truyền thống,10.0406977,105.828007,"Đường D5, Mỹ Hòa, Bình Minh, Vĩnh Long, 85510",,Chợ Khu Công Nghiệp Bình Minh là chợ truyền thống tại TP. Cần Thơ.,Chợ Khu Công Nghiệp Bình Minh Du lịch chợ truyền thống
DIA_CT01029,Chợ Lai Vung,Du lịch,chợ truyền thống,10.2583591,105.5885101,"Tân Thành, Lai Vung, Đồng Tháp",,Chợ Lai Vung là chợ truyền thống tại TP. Cần Thơ.,Chợ Lai Vung Du lịch chợ truyền thống
DIA_CT01013,Chợ Long Hậu,Du lịch,chợ truyền thống,10.2919127,105.6376686,"180 Đường Ngô Gia Tự, Lai Vung, Đồng Tháp, 81756",,Chợ Long Hậu là chợ truyền thống tại TP. Cần Thơ.,Chợ Long Hậu Du lịch chợ truyền thống
DIA_CT01031,Chợ Long Xuyên,Du lịch,trung tâm thương mại,10.3832947,105.4448733,"Đường Ngô Thời Nhậm, Mỹ Long, An Giang, 90106",,Chợ Long Xuyên là trung tâm thương mại tại TP. Cần Thơ.,Chợ Long Xuyên Du lịch trung tâm thương mại
DIA_CT01040,Chợ Lấp Vò,Du lịch,chợ truyền thống,10.3611667,105.5224527,"Đường 3 Tháng 2, Lấp Vò, Đồng Tháp, 81706",,Chợ Lấp Vò là chợ truyền thống tại TP. Cần Thơ.,Chợ Lấp Vò Du lịch chợ truyền thống
DIA_CT01043,Chợ Mỹ Bình,Du lịch,chợ truyền thống,10.3875445,105.4346589,"Đường Thủ Khoa Huân, Long Xuyên, An Giang, 90107",,Chợ Mỹ Bình là chợ truyền thống tại TP. Cần Thơ.,Chợ Mỹ Bình Du lịch chợ truyền thống
