id,name,domain,category_vi,latitude,longitude,address,district,province,description,search_text
TH_00001,Khách sạn Cao Nguyễn,Du lịch,khách sạn,19.4497191,105.8071019,"Hải Hòa, Tĩnh Gia, Thanh Hóa",Tĩnh Gia,Thanh Hóa,"Khách sạn Cao Nguyễn là khách sạn tại Tĩnh Gia, Thanh Hóa.",Khách sạn Cao Nguyễn Du lịch khách sạn Tĩnh Gia Thanh Hóa
TH_00002,Thanh Hoa Hotel,Du lịch,khách sạn,19.7975041,105.776234,"Khách Sạn Thanh Hóa, 25A Đường Quang Trung, Ngọc Trạo, Thanh Hóa",Thanh Hóa,Thanh Hóa,"Thanh Hoa Hotel là khách sạn tại Thanh Hóa, Thanh Hóa.",Thanh Hoa Hotel Du lịch khách sạn Thanh Hóa Thanh Hóa
TH_00003,Sao Mai Hotel,Du lịch,khách sạn,19.8125368,105.7732577,"20 Đường Phan Chu Trinh, Điện Biên, Thanh Hóa, 40120",Thanh Hóa,Thanh Hóa,"Sao Mai Hotel là khách sạn tại Thanh Hóa, Thanh Hóa.",Sao Mai Hotel Du lịch khách sạn Thanh Hóa Thanh Hóa
TH_00004,Khu nghỉ dưỡng Eureka Linh Trường,Du lịch,khách sạn,19.8566789,105.9417116,"Hoằng Trường, Hoằng Hóa, Thanh Hóa",Hoằng Hóa,Thanh Hóa,"Khu nghỉ dưỡng Eureka Linh Trường là khách sạn tại Hoằng Hóa, Thanh Hóa.",Khu nghỉ dưỡng Eureka Linh Trường Du lịch khách sạn Hoằng Hóa Thanh Hóa
TH_00005,Bảo Tàng Thanh Nhà Hồ,Du lịch,bảo tàng,20.0747506,105.6080729,"Vĩnh Tiến, Vĩnh Lộc, Thanh Hóa",Vĩnh Lộc,Thanh Hóa,"Bảo Tàng Thanh Nhà Hồ là bảo tàng tại Vĩnh Lộc, Thanh Hóa.",Bảo Tàng Thanh Nhà Hồ Du lịch bảo tàng Vĩnh Lộc Thanh Hóa
TH_00006,Phuong Hong Guest Houses,Du lịch,nhà khách/homestay,19.898703,105.3766925,"Đường Quốc Lộ 47, Xuân Dương, Thường Xuân, Thanh Hóa, 42207",Thường Xuân,Thanh Hóa,"Phuong Hong Guest Houses là nhà khách/homestay tại Thường Xuân, Thanh Hóa.",Phuong Hong Guest Houses Du lịch nhà khách/homestay Thường Xuân Thanh Hóa
TH_00007,Hoa Thuy Tien Hotel,Du lịch,khách sạn,19.8120035,105.7787022,"Hotel Thủy Tiên, 13/1 Đường Ngô Quyền, Điện Biên, Thanh Hóa, 40120",Thanh Hóa,Thanh Hóa,"Hoa Thuy Tien Hotel là khách sạn tại Thanh Hóa, Thanh Hóa.",Hoa Thuy Tien Hotel Du lịch khách sạn Thanh Hóa Thanh Hóa
TH_00008,Long Nam Hotel,Du lịch,khách sạn,19.8195333,105.7878539,"Hotel Long Nam, 381 Đường Trần Hưng Đạo, Nam Ngạn, Thanh Hóa, 40112",Thanh Hóa,Thanh Hóa,"Long Nam Hotel là khách sạn tại Thanh Hóa, Thanh Hóa.",Long Nam Hotel Du lịch khách sạn Thanh Hóa Thanh Hóa
TH_00009,Hoa Hong Hotel,Du lịch,khách sạn,19.8114686,105.7712242,"Khách Sạn Hoa Hồng, 102 Đường Triệu Quốc Đạt, Điện Biên, Thanh Hóa",Thanh Hóa,Thanh Hóa,"Hoa Hong Hotel là khách sạn tại Thanh Hóa, Thanh Hóa.",Hoa Hong Hotel Du lịch khách sạn Thanh Hóa Thanh Hóa
TH_00010,Khách sạn bộ Xây Dựng,Du lịch,khách sạn,19.7375545,105.9019658,"Nhà Hàng Ninh Thanh, Đường Lê Lai, Bắc Sơn, Sầm Sơn, Thanh Hóa",Sầm Sơn,Thanh Hóa,"Khách sạn bộ Xây Dựng là khách sạn tại Sầm Sơn, Thanh Hóa.",Khách sạn bộ Xây Dựng Du lịch khách sạn Sầm Sơn Thanh Hóa
