text,intent,region
# Món ăn Cần Thơ
Bánh xèo miền Tây ăn ở đâu,tim_mon_an,can_tho
Bún mắm miền Tây,tim_mon_an,can_tho
Lẩu mắm Cà Mau ngon không,tim_mon_an,can_tho
Hủ tiếu Mỹ Tho nào ngon,tim_mon_an,can_tho
Bánh cống Cần Thơ,tim_mon_an,can_tho
Cá lóc nướng trui,tim_mon_an,can_tho

# Địa điểm Cần Thơ
Cần Thơ có chợ nổi không,tim_dia_diem,can_tho
Cần Thơ chợ nổi ở đâu,tim_dia_diem,can_tho
Chợ nổi Cái Răng,tim_dia_diem,can_tho
Vườn cò Bằng Lăng,tim_dia_diem,can_tho
Chùa Khmer Cần Thơ,tim_dia_diem,can_tho

# Thời tiết Cần Thơ
Cần Thơ nóng không,hoi_thoi_tiet,can_tho
Cần Thơ có mưa không,hoi_thoi_tiet,can_tho
Cần Thơ thời tiết thế nào,hoi_thoi_tiet,can_tho
