id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
DIA_DB00001,Vegetarian Restaurant,Ẩm thực,nhà hàng,21.3977311,103.0211599,"644 Đường Võ Nguyên Giáp, Điện Biên Phủ, Điện Biên, 32110",Thành phố Điện Biên Phủ,Vegetarian Restaurant là nhà hàng tại Thành phố Điện Biên Phủ.,Vegetarian Restaurant Ẩm thực nhà hàng Thành phố Điện Biên Phủ
DIA_DB00002,Hong Ky Boutique Hotel,Du lịch,khách sạn,21.3847153,103.0192053,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Hong Ky Boutique Hotel là khách sạn tại Thành phố Điện Biên Phủ.,Hong Ky Boutique Hotel Du lịch khách sạn Thành phố Điện Biên Phủ
DIA_DB00003,Sông Hồng Restaurant,Ẩm thực,nhà hàng,21.385886,103.0197155,"Điện Biên Phủ, Điện Biên, 32111",Thành phố Điện Biên Phủ,Sông Hồng Restaurant là nhà hàng tại Thành phố Điện Biên Phủ.,Sông Hồng Restaurant Ẩm thực nhà hàng Thành phố Điện Biên Phủ
DIA_DB00004,A1,Du lịch,địa điểm du lịch,21.3810148,103.0167348,"Nghĩa Trang Liệt Sỹ Đồi A1 - Thành Phố Điện Biên Phủ, Mường Thanh, Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,A1 là địa điểm du lịch tại Thành phố Điện Biên Phủ.,A1 Du lịch địa điểm du lịch Thành phố Điện Biên Phủ
DIA_DB00005,Khách sạn Mường Thanh Holiday Điện Biên Phủ,Du lịch,khách sạn,21.4005426,103.0224041,"Đường Võ Nguyên Giáp, Him Lam, Điện Biên Phủ, Điện Biên, 32106",Thành phố Điện Biên Phủ,Khách sạn Mường Thanh Holiday Điện Biên Phủ là khách sạn tại Thành phố Điện Biên Phủ.,Khách sạn Mường Thanh Holiday Điện Biên Phủ Du lịch khách sạn Thành phố Điện Biên Phủ
DIA_DB00006,Nhà hàng Dân Tộc Quán,Ẩm thực,nhà hàng,21.3813687,103.0124033,"Đường Nguyễn Hữu Thọ, Thanh Trường, Điện Biên Phủ, Điện Biên, 32108",Thành phố Điện Biên Phủ,Nhà hàng Dân Tộc Quán là nhà hàng tại Thành phố Điện Biên Phủ.,Nhà hàng Dân Tộc Quán Ẩm thực nhà hàng Thành phố Điện Biên Phủ
DIA_DB00007,Nhà hàng Ngọc Mai,Ẩm thực,nhà hàng,21.388598,103.01689,"13 Đường Trần Can, Điện Biên Phủ, Điện Biên, 32110",Thành phố Điện Biên Phủ,Nhà hàng Ngọc Mai là nhà hàng tại Thành phố Điện Biên Phủ.,Nhà hàng Ngọc Mai Ẩm thực nhà hàng Thành phố Điện Biên Phủ
DIA_DB00008,Nhà hàng Tay Muong,Ẩm thực,nhà hàng,21.381409,103.012046,"Đường Hoàng Văn Thái, Thanh Trường, Điện Biên Phủ, Điện Biên, 32111",Thành phố Điện Biên Phủ,Nhà hàng Tay Muong là nhà hàng tại Thành phố Điện Biên Phủ.,Nhà hàng Tay Muong Ẩm thực nhà hàng Thành phố Điện Biên Phủ
DIA_DB00009,Đồi Độc Lập,Du lịch,địa điểm du lịch,21.421286,103.006593,"Đường Quốc Lộ 12, Thanh Nưa, Điện Biên, 32216",Huyện Điện Biên,Đồi Độc Lập là địa điểm du lịch tại Huyện Điện Biên.,Đồi Độc Lập Du lịch địa điểm du lịch Huyện Điện Biên
DIA_DB00010,Hầm chỉ huy chiến dịch,Du lịch,địa điểm du lịch,21.384944,103.0106749,"Hầm Chỉ Huy Cứ Điểm Điện Biên Phủ, Thanh Trường, Điện Biên Phủ, Điện Biên, 32108",Thành phố Điện Biên Phủ,Hầm chỉ huy chiến dịch là địa điểm du lịch tại Thành phố Điện Biên Phủ.,Hầm chỉ huy chiến dịch Du lịch địa điểm du lịch Thành phố Điện Biên Phủ
DIA_DB00011,Không gian Cafe,Ẩm thực,quán cà phê,21.385016,103.01748,"Điện Biên Phủ, Điện Biên, 32111",Thành phố Điện Biên Phủ,Không gian Cafe là quán cà phê tại Thành phố Điện Biên Phủ.,Không gian Cafe Ẩm thực quán cà phê Thành phố Điện Biên Phủ
DIA_DB00012,vụ ân restaurant,Ẩm thực,nhà hàng,21.3824981,103.0201467,"Điện Biên Phủ, Điện Biên, 32111",Thành phố Điện Biên Phủ,vụ ân restaurant là nhà hàng tại Thành phố Điện Biên Phủ.,vụ ân restaurant Ẩm thực nhà hàng Thành phố Điện Biên Phủ
DIA_DB00013,Khach San Nam Rom,Du lịch,khách sạn,21.3921675,103.0144265,"21 Đường Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, 32110",Thành phố Điện Biên Phủ,Khach San Nam Rom là khách sạn tại Thành phố Điện Biên Phủ.,Khach San Nam Rom Du lịch khách sạn Thành phố Điện Biên Phủ
DIA_DB00014,Nha Khach Truc An,Du lịch,khách sạn,21.3925072,103.0126509,"6 Đường Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, 32109",Thành phố Điện Biên Phủ,Nha Khach Truc An là khách sạn tại Thành phố Điện Biên Phủ.,Nha Khach Truc An Du lịch khách sạn Thành phố Điện Biên Phủ
DIA_DB00015,Yen Ninh,Ẩm thực,nhà hàng,21.3960546,103.0205131,"Đường Võ Nguyên Giáp, Điện Biên Phủ, Điện Biên, 32110",Thành phố Điện Biên Phủ,Yen Ninh là nhà hàng tại Thành phố Điện Biên Phủ.,Yen Ninh Ẩm thực nhà hàng Thành phố Điện Biên Phủ
DIA_DB00016,MTV Karaoke,Ẩm thực,quán bar,21.3568643,103.0086754,"Đường Quốc Lộ 279, Thanh Xương, Điện Biên, 32209",Huyện Điện Biên,MTV Karaoke là quán bar tại Huyện Điện Biên.,MTV Karaoke Ẩm thực quán bar Huyện Điện Biên
DIA_DB00017,MUONG PHANG HOTEL,Du lịch,khách sạn,21.3935853,103.012104,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,MUONG PHANG HOTEL là khách sạn tại Thành phố Điện Biên Phủ.,MUONG PHANG HOTEL Du lịch khách sạn Thành phố Điện Biên Phủ
DIA_DB00018,NHA NGHI PHUONG HI EN Guesthouse,Du lịch,khách sạn,21.3923128,103.0109928,"67 Đường Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, 32109",Thành phố Điện Biên Phủ,NHA NGHI PHUONG HI EN Guesthouse là khách sạn tại Thành phố Điện Biên Phủ.,NHA NGHI PHUONG HI EN Guesthouse Du lịch khách sạn Thành phố Điện Biên Phủ
DIA_DB00019,Khách sạn Điện Biên Phủ;Di tich lich su doi E2,Khác,địa điểm,21.3957056,103.0163895,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Khách sạn Điện Biên Phủ;Di tich lich su doi E2 là địa điểm tại Thành phố Điện Biên Phủ.,Khách sạn Điện Biên Phủ;Di tich lich su doi E2 Khác địa điểm Thành phố Điện Biên Phủ
DIA_DB00020,Cà phê PhaDin,Ẩm thực,quán cà phê,21.3923657,103.0116462,"Đường Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, 32109",Thành phố Điện Biên Phủ,Cà phê PhaDin là quán cà phê tại Thành phố Điện Biên Phủ.,Cà phê PhaDin Ẩm thực quán cà phê Thành phố Điện Biên Phủ
DIA_DB00021,Bun Cha Oc,Ẩm thực,nhà hàng,21.3977803,103.0215392,"567 Đường Võ Nguyên Giáp, Điện Biên Phủ, Điện Biên, 32110",Thành phố Điện Biên Phủ,Bun Cha Oc là nhà hàng tại Thành phố Điện Biên Phủ.,Bun Cha Oc Ẩm thực nhà hàng Thành phố Điện Biên Phủ
DIA_DB00022,New Coffee,Ẩm thực,quán bar,21.3875911,103.016683,"41 Đường Phan Đình Giót, Mường Thanh, Điện Biên Phủ, Điện Biên, 32111",Thành phố Điện Biên Phủ,New Coffee là quán bar tại Thành phố Điện Biên Phủ.,New Coffee Ẩm thực quán bar Thành phố Điện Biên Phủ
DIA_DB00023,Ice Coffee,Ẩm thực,quán bar,21.3875836,103.0167318,"40 Đường Phan Đình Giót, Mường Thanh, Điện Biên Phủ, Điện Biên, 32111",Thành phố Điện Biên Phủ,Ice Coffee là quán bar tại Thành phố Điện Biên Phủ.,Ice Coffee Ẩm thực quán bar Thành phố Điện Biên Phủ
DIA_DB00024,Nhà nghỉ 51 - Chi nhánh 2,Du lịch,khách sạn,21.3976668,103.0155866,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Nhà nghỉ 51 - Chi nhánh 2 là khách sạn tại Thành phố Điện Biên Phủ.,Nhà nghỉ 51 - Chi nhánh 2 Du lịch khách sạn Thành phố Điện Biên Phủ
DIA_DB00025,An Lộc Hotel,Du lịch,khách sạn,21.3910107,103.0150019,"Đường Nguyễn Chí Thanh, Điện Biên Phủ, Điện Biên, 32110",Thành phố Điện Biên Phủ,An Lộc Hotel là khách sạn tại Thành phố Điện Biên Phủ.,An Lộc Hotel Du lịch khách sạn Thành phố Điện Biên Phủ
DIA_DB00026,Quán chay tú oanh,Ẩm thực,nhà hàng,21.396115,103.0197115,"655 Đường Võ Nguyên Giáp, Điện Biên Phủ, Điện Biên, 32110",Thành phố Điện Biên Phủ,Quán chay tú oanh là nhà hàng tại Thành phố Điện Biên Phủ.,Quán chay tú oanh Ẩm thực nhà hàng Thành phố Điện Biên Phủ
DIA_DB00027,Phuong Nam,Du lịch,khách sạn,21.3971037,103.0190958,"Điện Biên Phủ, Điện Biên, 32110",Thành phố Điện Biên Phủ,Phuong Nam là khách sạn tại Thành phố Điện Biên Phủ.,Phuong Nam Du lịch khách sạn Thành phố Điện Biên Phủ
DIA_DB00028,Pharma Hotel,Du lịch,khách sạn,21.3932301,103.016657,"Đường Võ Nguyên Giáp, Điện Biên Phủ, Điện Biên, 32110",Thành phố Điện Biên Phủ,Pharma Hotel là khách sạn tại Thành phố Điện Biên Phủ.,Pharma Hotel Du lịch khách sạn Thành phố Điện Biên Phủ
DIA_DB00029,Thảo Coffee,Ẩm thực,quán cà phê,21.382754,103.0093281,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Thảo Coffee là quán cà phê tại Thành phố Điện Biên Phủ.,Thảo Coffee Ẩm thực quán cà phê Thành phố Điện Biên Phủ
DIA_DB00030,French 105 mm cannon,Du lịch,địa điểm du lịch,21.3857433,103.0097246,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,French 105 mm cannon là địa điểm du lịch tại Thành phố Điện Biên Phủ.,French 105 mm cannon Du lịch địa điểm du lịch Thành phố Điện Biên Phủ
DIA_DB00031,French 105 mm cannon,Du lịch,địa điểm du lịch,21.3861836,103.0097614,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,French 105 mm cannon là địa điểm du lịch tại Thành phố Điện Biên Phủ.,French 105 mm cannon Du lịch địa điểm du lịch Thành phố Điện Biên Phủ
DIA_DB00032,Tinh Vuong Hotel,Du lịch,khách sạn,21.387407,103.0172576,"Đường Phan Đình Giót, Mường Thanh, Điện Biên Phủ, Điện Biên, 32111",Thành phố Điện Biên Phủ,Tinh Vuong Hotel là khách sạn tại Thành phố Điện Biên Phủ.,Tinh Vuong Hotel Du lịch khách sạn Thành phố Điện Biên Phủ
DIA_DB00033,Đồi A1,Du lịch,công viên,21.3831651,103.0178571,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Đồi A1 là công viên tại Thành phố Điện Biên Phủ.,Đồi A1 Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00034,Đồi F,Du lịch,công viên,21.3840969,103.0205351,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Đồi F là công viên tại Thành phố Điện Biên Phủ.,Đồi F Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00035,Đồi D1,Du lịch,công viên,21.3928384,103.0186734,"Tượng Đài A1, Điện Biên Phủ, Điện Biên, 32110",Thành phố Điện Biên Phủ,Đồi D1 là công viên tại Thành phố Điện Biên Phủ.,Đồi D1 Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00036,Hầm Piroth,Du lịch,công viên,21.3876602,103.013251,"Đường Bế Văn Đàn, Mường Thanh, Điện Biên Phủ, Điện Biên, 32111",Thành phố Điện Biên Phủ,Hầm Piroth là công viên tại Thành phố Điện Biên Phủ.,Hầm Piroth Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00037,Công viên Noong Bua,Du lịch,công viên,21.3889872,103.0314965,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Công viên Noong Bua là công viên tại Thành phố Điện Biên Phủ.,Công viên Noong Bua Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00038,Đồi C1,Du lịch,công viên,21.3871377,103.0184326,"Đường Phan Đình Giót, Mường Thanh, Điện Biên Phủ, Điện Biên, 32111",Thành phố Điện Biên Phủ,Đồi C1 là công viên tại Thành phố Điện Biên Phủ.,Đồi C1 Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00039,Đồi E2,Du lịch,công viên,21.3964157,103.0173855,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Đồi E2 là công viên tại Thành phố Điện Biên Phủ.,Đồi E2 Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00040,Đồi E1,Du lịch,công viên,21.3952901,103.0146828,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Đồi E1 là công viên tại Thành phố Điện Biên Phủ.,Đồi E1 Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00041,Công Viên Vừ A Dính,Du lịch,công viên,21.3895831,103.0134701,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Công Viên Vừ A Dính là công viên tại Thành phố Điện Biên Phủ.,Công Viên Vừ A Dính Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00042,Công viên Hoa Ban,Du lịch,công viên,21.3945147,103.0340002,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Công viên Hoa Ban là công viên tại Thành phố Điện Biên Phủ.,Công viên Hoa Ban Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00043,Khách sạn Hương Bình,Du lịch,khách sạn,21.3900024,103.0144009,"Điện Biên Phủ, Điện Biên, 32110",Thành phố Điện Biên Phủ,Khách sạn Hương Bình là khách sạn tại Thành phố Điện Biên Phủ.,Khách sạn Hương Bình Du lịch khách sạn Thành phố Điện Biên Phủ
DIA_DB00044,Đồi Him Lam,Du lịch,công viên,21.4062203,103.0247418,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Đồi Him Lam là công viên tại Thành phố Điện Biên Phủ.,Đồi Him Lam Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00045,Công Viên Tái Định Cư Him Lam,Du lịch,công viên,21.4021181,103.0379545,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Công Viên Tái Định Cư Him Lam là công viên tại Thành phố Điện Biên Phủ.,Công Viên Tái Định Cư Him Lam Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00046,Công Viên Nam Thanh,Du lịch,công viên,21.3746897,103.0117091,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Công Viên Nam Thanh là công viên tại Thành phố Điện Biên Phủ.,Công Viên Nam Thanh Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00047,Công Viên Tưởng Niệm Lính Pháp,Du lịch,công viên,21.3821116,103.0107204,"Đường Nguyễn Hữu Thọ, Thanh Trường, Điện Biên Phủ, Điện Biên, 32108",Thành phố Điện Biên Phủ,Công Viên Tưởng Niệm Lính Pháp là công viên tại Thành phố Điện Biên Phủ.,Công Viên Tưởng Niệm Lính Pháp Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00048,Công Viên Phố 5 Thanh Trường,Du lịch,công viên,21.3820274,103.008953,"Điện Biên Phủ, Điện Biên",Thành phố Điện Biên Phủ,Công Viên Phố 5 Thanh Trường là công viên tại Thành phố Điện Biên Phủ.,Công Viên Phố 5 Thanh Trường Du lịch công viên Thành phố Điện Biên Phủ
DIA_DB00049,Khu Di Tích Hầm Đờ Cát,Du lịch,công viên,21.3853013,103.0111577,"Đường Nguyễn Hữu Thọ, Thanh Trường, Điện Biên Phủ, Điện Biên, 32108",Thành phố Điện Biên Phủ,Khu Di Tích Hầm Đờ Cát là công viên tại Thành phố Điện Biên Phủ.,Khu Di Tích Hầm Đờ Cát Du lịch công viên Thành phố Điện Biên Phủ
