id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
QN_00001,Ha Long Pearl,Du lịch,khách sạn,20.9515064,107.041204,Saigon Halong Hotel,,Ha Long Pearl là khách sạn tại Quảng Ninh.,Ha Long Pearl Du lịch khách sạn  Quảng Ninh
QN_00002,BMC Thăng Long Hotel,Du lịch,khách sạn,20.9483048,107.0289488,"278 Đường Hạ Long, Bãi Cháy, Hạ Long, Quảng Ninh, 01119",Hạ Long,BMC Thăng Long Hotel là khách sạn tại Hạ Long.,BMC Thăng Long Hotel Du lịch khách sạn Hạ Long Quảng Ninh
QN_00003,Cua Vàng,Ẩm thực,nhà hàng,20.9594177,107.0187657,"27 Phố Phan Chu Trinh, Bãi Cháy, Hạ Long, Quảng Ninh, 01119",Hạ Long,Cua Vàng là nhà hàng tại Hạ Long.,Cua Vàng Ẩm thực nhà hàng Hạ Long Quảng Ninh
QN_00004,Thành Liễu,Du lịch,khách sạn,20.943752,107.5481683,"Minh Châu, Vân Đồn, Quảng Ninh",Vân Đồn,Thành Liễu là khách sạn tại Vân Đồn.,Thành Liễu Du lịch khách sạn Vân Đồn Quảng Ninh
QN_00005,Ngân Hà,Du lịch,khách sạn,20.8761933,107.4927834,"Quan Lạn, Vân Đồn, Quảng Ninh",Vân Đồn,Ngân Hà là khách sạn tại Vân Đồn.,Ngân Hà Du lịch khách sạn Vân Đồn Quảng Ninh
QN_00006,Hông Ngoc,Du lịch,khách sạn,21.0600727,107.4290092,"Cái Rồng, Vân Đồn, Quảng Ninh",Vân Đồn,Hông Ngoc là khách sạn tại Vân Đồn.,Hông Ngoc Du lịch khách sạn Vân Đồn Quảng Ninh
QN_00007,Lâm Tâm,Du lịch,khách sạn,21.0612291,107.429433,"Cái Rồng, Vân Đồn, Quảng Ninh",Vân Đồn,Lâm Tâm là khách sạn tại Vân Đồn.,Lâm Tâm Du lịch khách sạn Vân Đồn Quảng Ninh
QN_00008,Khach san Phuong Linh,Du lịch,khách sạn,21.4794725,108.0224398,"Nhà Nghỉ Phương Linh, Đường Tỉnh Lộ 335, Trà Cổ, Móng Cái, Quảng Ninh, 01521",Móng Cái,Khach san Phuong Linh là khách sạn tại Móng Cái.,Khach san Phuong Linh Du lịch khách sạn Móng Cái Quảng Ninh
QN_00009,Kim Hoang Hotel,Du lịch,khách sạn,21.4797173,108.0230319,"Quang Huy In Photocopy, Đường Tỉnh Lộ 335, Trà Cổ, Móng Cái, Quảng Ninh, 01521",Móng Cái,Kim Hoang Hotel là khách sạn tại Móng Cái.,Kim Hoang Hotel Du lịch khách sạn Móng Cái Quảng Ninh
QN_00010,Vịnh Hạ Long,Du lịch,địa điểm du lịch,20.9084384,107.0682782,Gulf of Tonkin,,Vịnh Hạ Long là địa điểm du lịch tại Quảng Ninh.,Vịnh Hạ Long Du lịch địa điểm du lịch  Quảng Ninh
QN_00011,Sao Bien Hotel,Du lịch,khách sạn,21.4809687,108.0272887,"Trà Cổ, Móng Cái, Quảng Ninh",Móng Cái,Sao Bien Hotel là khách sạn tại Móng Cái.,Sao Bien Hotel Du lịch khách sạn Móng Cái Quảng Ninh
QN_00012,Nam Phuong Hotel,Du lịch,khách sạn,21.4811039,108.0252732,"Nhà Nghỉ Nam Phương, Đường Tỉnh Lộ 335, Trà Cổ, Móng Cái, Quảng Ninh, 01521",Móng Cái,Nam Phuong Hotel là khách sạn tại Móng Cái.,Nam Phuong Hotel Du lịch khách sạn Móng Cái Quảng Ninh
QN_00013,Quyet Nhung Hotel,Du lịch,nhà khách/homestay,21.3550957,107.5903691,"Nhà Nghỉ Quyết Nhung, Thị Trấn Đầm Hà, Đầm Hà, Quảng Ninh, 01806",Đầm Hà,Quyet Nhung Hotel là nhà khách/homestay tại Đầm Hà.,Quyet Nhung Hotel Du lịch nhà khách/homestay Đầm Hà Quảng Ninh
QN_00014,Viet Trung Hotel,Du lịch,khách sạn,21.0015977,107.2684128,"Hotel Việt Trung, Cẩm Trung, Cẩm Phả, Quảng Ninh, 01206",Cẩm Phả,Viet Trung Hotel là khách sạn tại Cẩm Phả.,Viet Trung Hotel Du lịch khách sạn Cẩm Phả Quảng Ninh
QN_00015,Nn,Ẩm thực,quán cà phê,21.0937471,106.8732562,"Đường Quốc Lộ 279, Quảng La, Hạ Long, Quảng Ninh, 02117",Hạ Long,Nn là quán cà phê tại Hạ Long.,Nn Ẩm thực quán cà phê Hạ Long Quảng Ninh
QN_00016,Halong Plaza Hotel,Du lịch,khách sạn,20.9602376,107.0608645,"8 Đường Hạ Long, Bãi Cháy, Hạ Long, Quảng Ninh, 01119",Hạ Long,Halong Plaza Hotel là khách sạn tại Hạ Long.,Halong Plaza Hotel Du lịch khách sạn Hạ Long Quảng Ninh
QN_00017,Houng Bien Hotel,Du lịch,khách sạn,20.9237493,106.9891783,"Quán Bình Dân Tuyết Tự, Tuần Châu, Hạ Long, Quảng Ninh, 01125",Hạ Long,Houng Bien Hotel là khách sạn tại Hạ Long.,Houng Bien Hotel Du lịch khách sạn Hạ Long Quảng Ninh
QN_00018,Hang Luồn Cave Entrance,Du lịch,địa điểm du lịch,20.8530914,107.094871,Gulf of Tonkin,,Hang Luồn Cave Entrance là địa điểm du lịch tại Quảng Ninh.,Hang Luồn Cave Entrance Du lịch địa điểm du lịch  Quảng Ninh
QN_00019,Chợ Tiên Yên,Du lịch,chợ truyền thống,21.3310526,107.3986761,"Đường Quốc Lộ 18, Tiên Yên, Quảng Ninh, 01906",Tiên Yên,Chợ Tiên Yên là chợ truyền thống tại Tiên Yên.,Chợ Tiên Yên Du lịch chợ truyền thống Tiên Yên Quảng Ninh
QN_00020,Long Ha Nha Nghi,Du lịch,nhà khách/homestay,20.950549,107.0828851,"Cắt Tóc, 101 Phố Trần Quốc Toản, Bạch Đằng, Hạ Long, Quảng Ninh, 01108",Hạ Long,Long Ha Nha Nghi là nhà khách/homestay tại Hạ Long.,Long Ha Nha Nghi Du lịch nhà khách/homestay Hạ Long Quảng Ninh
QN_00021,Ngoc Ngoan,Du lịch,nhà khách/homestay,21.0685494,107.4210479,"Cái Rồng, Vân Đồn, Quảng Ninh",Vân Đồn,Ngoc Ngoan là nhà khách/homestay tại Vân Đồn.,Ngoc Ngoan Du lịch nhà khách/homestay Vân Đồn Quảng Ninh
