text,intent,region
# Vịnh Hạ Long
Vịnh Hạ Long đẹp không,tim_dia_diem,ha_long
Hạ Long có động nào đẹp,tim_dia_diem,ha_long
Hạ Long có nắng không,hoi_thoi_tiet,ha_long

# Sa Pa
Sa Pa có gì hay,tim_dia_diem,sa_pa
Sa Pa có đẹp không,tim_dia_diem,sa_pa
Sa Pa lạnh lắm không,hoi_thoi_tiet,sa_pa

# Ninh Bình
Ninh Bình nên đi đâu,tim_dia_diem,ninh_binh
Ninh Bình thời tiết ra sao,hoi_thoi_tiet,ninh_binh

# Mũi Né
Mũi Né có bãi biển nào,tim_dia_diem,mui_ne
Mũi Né có gì đẹp,tim_dia_diem,mui_ne
Mũi Né gió to không,hoi_thoi_tiet,mui_ne

# Phong Nha Kẻ Bàng
Phong Nha Kẻ Bàng thế nào,tim_dia_diem,phong_nha

# Các địa điểm khác
Đảo Bình Ba hải sản,tim_dia_diem,binh_ba
Hòn Sơn Kiên Giang,tim_dia_diem,kien_giang
