id,food_name,description,category,region,type,source,popularity,price_range
FOOD00001,Phở,"Phở (chữ Nôm: 𬖾) là một món ăn truyền thống của Việt Nam, được xem là một trong những món ăn tiêu biểu cho nền ẩm thực Việt Nam.",Món ăn Việt Nam,Việt Nam,Món nước,vietnam_food_extended,52,50-100k
FOOD00002,Bún bò Huế,"Bún bò Huế là một trong những đặc sản của thành phố Huế, mặc dù món bún này phổ biến trên cả ba miền ở Việt Nam và cả người Việt tại hải ngoại. Tại Huế, món này được gọi đơn giản là ""bún bò"" hoặc gọi cụ thể hơn là ""bún bò - giò heo"". Các địa phương khác gọi là ""bún bò Huế"", ""bún bò gốc Huế"" để chỉ xuất xứ của món ăn này. Bún bò chính gốc Huế có nguyên liệu chính là bún, thịt bắp bò, giò heo, cùng nước dùng có màu đỏ đặc trưng do ớt và vị sả và ruốc.[cần dẫn nguồn]",Món ăn Việt Nam,Việt Nam,Món nước,vietnam_food_extended,93,50-100k
FOOD00003,Bún chả,"Bún chả là một món ăn của Việt Nam, bao gồm bún, chả thịt lợn nướng trên than hoa và bát nước mắm chua cay mặn ngọt. Món ăn xuất xứ từ miền Bắc Việt Nam, là thứ quà có sức sống lâu bền nhất của Hà Nội,[1] nên có thể coi đây là một trong những đặc sản đặc trưng của ẩm thực Hà thành. Bún chả có nét tương tự món bún thịt nướng ở miền Trung và miền Nam, nhưng nước mắm pha có vị thanh nhẹ hơn.",Món ăn Việt Nam,Việt Nam,Món nước,vietnam_food_extended,15,200k+
FOOD00004,Bún riêu cua,"Bún riêu cua là một món ăn truyền thống Việt Nam, có nguồn gốc từ vùng đồng bằng sông Hồng của Việt Nam, được biết đến rộng rãi trong nước và quốc tế.[1] Món ăn này gồm bún (bún rối hoặc bún lá) và 'riêu cua'. Riêu cua là canh chua được nấu từ gạch cua, thịt cua giã và lọc cùng với quả dọc, cà chua,[2] mỡ nước, giấm bỗng, nước mắm, muối, hành hoa. Bún riêu thường thêm chút mắm tôm để tăng thêm vị đậm đà, thường ăn kèm với rau sống. Đây là món ăn có vị chua thanh, ăn vào mùa hè rất mát nên được n...",Món ăn Việt Nam,Việt Nam,Món nước,vietnam_food_extended,72,100-200k
FOOD00005,Bún thịt nướng,"Bún thịt nướng là một món ăn món ăn có nguồn gốc ở miền Nam Việt Nam, về sau đã phổ biến lan rộng tại nhiều nơi trên cả nước.[1] Mỗi nơi đều có thể có cho mình một hương vị đặc trưng riêng tùy theo khẩu vị từng nơi. Món bún này có thể dùng làm điểm tâm, bữa chính hay bữa phụ đều phù hợp.[2] Yêu cầu của món Bún thịt nướng là thịt được nướng vàng đều, có vị đậm đà cùng hương thơm của sả và vừng; nước mắm chua ngọt vừa ăn; và các loại rau dùng kèm đa dạng.[3]",Món ăn Việt Nam,Việt Nam,Món nước,vietnam_food_extended,61,10-25k
FOOD00006,Bún mắm,"Bún mắm là một trong số các món ăn đặc sản của miền tây Nam bộ Việt Nam. Bún mắm được nấu bằng mắm cá linh hay cá sặc, đây là các loại cá có nhiều tại miền Tây, đặc biệt là các tỉnh Trà Vinh và Sóc Trăng.",Món ăn Việt Nam,Việt Nam,Món nước,vietnam_food_extended,21,200k+
FOOD00007,Bún đậu mắm tôm,"Bún đậu mắm tôm là món ăn đơn giản, dân dã trong ẩm thực miền Bắc Việt Nam và có xuất xứ từ Hà Nội. Đây là món thường được dùng như bữa ăn nhẹ, ăn chơi, đôi khi là bữa tối chính. Thành phần chính gồm có bún tươi, đậu hũ chiên vàng, chả cốm, thịt luộc, nem chua, dồi, mắm tôm pha tắc, ớt và ăn kèm với các loại rau thơm như tía tô, kinh giới, rau húng, xà lách, cà pháo...[1] Cũng như các món ăn dân gian khác, giá thành rẻ nên được nhiều người giới bình dân ăn nên thu nhập của những người buôn bán n...",Món ăn Việt Nam,Việt Nam,Món nước,vietnam_food_extended,83,25-50k
FOOD00008,Bún ốc,"Bún ốc là một đặc sản ẩm thực của người Hà Nội. Bún ốc có thể ăn nóng, chấm hoặc chan. Bún ốc nguội ăn chấm phù hợp vào mùa hè.",Món ăn Việt Nam,Việt Nam,Món nước,vietnam_food_extended,87,25-50k
FOOD00009,Bánh mì,"Bánh mì là thực phẩm được chế biến từ bột mì hoặc từ ngũ cốc được nghiền ra trộn với nước, thường là bằng cách nướng. Trong suốt quá trình lịch sử, bánh mì đã được phổ biến trên toàn thế giới và là một trong những loại thực phẩm nhân tạo lâu đời nhất, đóng vai trò rất quan trọng kể từ lúc ban đầu của ngành nông nghiệp.",Món ăn Việt Nam,Việt Nam,Món nước,vietnam_food_extended,75,10-25k
FOOD00010,Bánh xèo,"Bánh xèo là một loại bánh phổ biến ở châu Á, phiên bản bánh xèo của Nhật Bản và Triều Tiên có bột bên ngoài, bên trong có nhân là tôm, thịt, giá đỗ, kim chi, khoai tây, hẹ, (bánh xèo Triều Tiên); tôm, thịt, cải thảo (Nhật Bản) được rán màu vàng, đúc thành hình tròn hoặc gấp lại thành hình bán nguyệt. Tuỳ theo từng địa phương tại Việt Nam mà bánh được thưởng thức với nét đặc trưng riêng. Thường có 2 phương pháp chính: đổ bánh xèo giòn và bánh xèo dai. Ăn bằng hai cách: ăn bốc hoặc ăn bằng đũa.",Món ăn Việt Nam,Việt Nam,Bánh,vietnam_food_extended,75,100-200k
FOOD00011,Bánh cuốn,"Bánh cuốn, còn gọi là bánh mướt hay bánh ướt (khi không có nhân),[1] là một món ăn làm từ bột gạo hấp tráng mỏng, cuộn tròn, bên trong có thể có nhân hành, thịt, mộc nhĩ hoặc không nhân.",Món ăn Việt Nam,Việt Nam,Bánh,vietnam_food_extended,88,200k+
FOOD00012,Bánh chưng,"Bánh chưng (""chưng"" trong ""chưng cất"", nghĩa là hấp nước, nhưng thực tế bánh được nấu bằng cách luộc) là một loại bánh truyền thống của dân tộc Việt nhằm thể hiện lòng biết ơn của con cháu đối với cha ông với đất trời. Nguyên liệu làm bánh chưng gồm gạo nếp, đậu xanh, thịt lợn, lá dong. Bánh thường được làm vào các dịp Mùng 1 Tết Nguyên Đán của dân tộc Việt, cũng như ngày giỗ tổ Hùng Vương (mùng 10 tháng 3 âm lịch)",Món ăn Việt Nam,Việt Nam,Bánh,vietnam_food_extended,100,50-100k
FOOD00013,Bánh tét,"Bánh tét, có nơi gọi là bánh đòn,[1] là một loại bánh trong ẩm thực của cả người Việt và một số dân tộc thiểu số[2] ở miền Nam và miền Trung Việt Nam, là nét tương đồng của bánh chưng ở miền Bắc về nguyên liệu, cách nấu, chỉ khác về hình dáng và sử dụng lá chuối để gói thay vì lá dong, vì vậy nó cũng được sử dụng nhiều nhất trong dịp Tết Nguyên đán cổ truyền của dân tộc Việt Nam với vai trò không khác bánh chưng. Nhưng cũng có nhiều bánh tét nhân chuối hay đậu đen được làm hay là bán quanh năm.",Món ăn Việt Nam,Việt Nam,Bánh,vietnam_food_extended,24,10-25k
FOOD00014,Bánh bao,"Bánh bao (tiếng Trung: 包子; bính âm: bāozi, Hán Việt: bao tử) là một loại bánh làm bằng bột mì có nhân và hấp chín, chiên hoặc nướng trước khi ăn trong ẩm thực Trung Hoa. Nó khá giống với loại bánh màn thầu truyền thống cũng của Trung Quốc nhưng hai loại bánh này hoàn toàn không liên quan gì đến nhau. Nhân bánh bao được làm bằng thịt hoặc rau củ tùy theo vùng miền khác nhau ở Trung Quốc.",Món ăn Việt Nam,Việt Nam,Bánh,vietnam_food_extended,3,100-200k
FOOD00015,Bánh căn,"Bánh căn là một loại bánh phổ biến của Ninh Thuận, Bình Thuận . Sau này được phát triển ở vùng Nam Trung Bộ, đặc biệt ở các tỉnh Khánh Hòa, Lâm Đồng, Bình Thuận. Bánh căn có hình dáng gần với bánh khọt ở các tỉnh phía Nam, nhưng cách làm hoàn toàn khác. Nếu như bánh khọt là loại bột gạo ""chiên"" (vì có dùng dầu mỡ) thì bánh căn là loại bột gạo ""nướng"". Làm bánh căn thường phải có khuôn đúc đặc biệt, thường làm bằng đất nung, và có nhiều lỗ tròn để đặt khuôn. Vì bánh căn nhỏ nên thường tính theo c...",Món ăn Việt Nam,Việt Nam,Bánh,vietnam_food_extended,22,50-100k
FOOD00016,Bánh khọt,"Bánh khọt là loại bánh Việt Nam (chính xác là loại bánh đặc trưng của miền nam Việt Nam.[1][2] Làm từ bột gạo hoặc bột sắn, có nhân tôm, được chiên và ăn kèm với rau sống, ớt tươi, thường ăn với nước mắm pha ngọt, rất ít khi chấm nước sốt mắm tôm (không phải mắm tôm hay mắm tôm chua).",Món ăn Việt Nam,Việt Nam,Bánh,vietnam_food_extended,53,25-50k
FOOD00017,Cơm tấm,"Cơm tấm hay cơm sườn[1][2][3] là một món cơm có xuất xứ từ Việt Nam, với thành phần chủ đạo gồm gạo tấm, thịt lợn nướng, trứng ốp la, nước mắm cùng nhiều nguyên liệu khác.[4] Dù có nhiều tên gọi ở các vùng miền khác nhau, tuy nhiên nguyên liệu và cách thức chế biến của món ăn này lại gần như tương tự.[5] Trong số đó, Sài Gòn được biết đến như một trong những địa danh nổi tiếng nhất gắn liền với món cơm tấm. Cơm tấm trước đây chủ yếu chỉ dùng cho bữa sáng, nhưng sau này người ta còn dùng trong cả...",Món ăn Việt Nam,Việt Nam,Món cơm/xôi,vietnam_food_extended,2,25-50k
FOOD00018,Cơm âm phủ,"Cơm âm phủ là một món ăn nổi tiếng của thành phố Huế, được một nhà hàng tên là ""Âm Phủ"" có tuổi thọ hơn 80 năm sáng tạo ra, lâu dần quen miệng nên gọi là cơm âm phủ. Hiện nay, món cơm âm phủ được nhiều nhà hàng quán xá ở nhiều tỉnh thành khác nhau tại Việt Nam phục vụ dẫn đến những sự khác biệt nhỏ trong cách chế biến. Món cơm này được kết hợp bởi nhiều món ăn còn lại trong ngày từ các tiệm cơm. Khi thành phố ngày càng phát triển thì các tiệm cơm như vậy dần biến mất, và hiện nay, chỉ còn một ti...",Món ăn Việt Nam,Việt Nam,Món cơm/xôi,vietnam_food_extended,88,50-100k
FOOD00019,Cơm hến,"Cơm hến là một đặc sản ẩm thực Huế.[1][2] Cơm hến được trình bày dưới hình thức là cơm nguội trộn với hến xào qua dầu và gia vị, nước hến, mắm ruốc, môn bạc hà, bẹ chuối, rau má, rau thơm, giá đỗ, tóp mỡ hoặc bóng bì chiên giòn, sợi mì chiên giòn, ớt màu, đậu phộng nguyên hạt, ớt chưng, tiêu, bột ngọt và muối. Các món cải biên như bún hến và mì hến không phải là đặc sản Huế.",Món ăn Việt Nam,Việt Nam,Món cơm/xôi,vietnam_food_extended,30,10-25k
