id,name,type,description,location,address,tags
MON_SG_F001,Bánh Mì Huỳnh Hoa,food,Bánh mì thịt nguội nổi tiếng với nhân đầy đặn. Vỏ giòn ruột mềm. Quán luôn đông khách.,Sài Gòn,"26 Lê Thị Riêng, P. Bến Thành, Q.1, TP.HCM","bánh mì, nổi tiếng, q1, sài gòn"
MON_SG_F002,Phở Hòa Pasteur,food,Phở bò truyền thống với nước dùng trong ngọt. Thịt bò tươi ngon. Quán phở lâu đời.,Sài Gòn,"260C Pasteur, P.8, Q.3, TP.HCM","phở, bò, q3, sài gòn, nổi tiếng"
MON_SG_F003,Cơm Tấm Mộc,food,Cơm tấm sườn bì chả đặc biệt. Sườn nướng thơm phức. Nước mắm chua ngọt đậm đà.,Sài Gòn,"21 Trần Hưng Đạo, P. Cầu Ông Lãnh, Q.1, TP.HCM","cơm tấm, sườn, q1, sài gòn"
MON_SG_F004,Hủ Tiếu Nam Vang Thanh Xuân,food,Hủ tiếu Nam Vang với nước dùng ngọt thanh. Tôm tươi và thịt băm. Quán nổi tiếng lâu năm.,Sài Gòn,"790 Trần Hưng Đạo, P.1, Q.5, TP.HCM","hủ tiếu, nam vang, q5, sài gòn"
MON_SG_F005,Bánh Xèo 46A,food,Bánh xèo giòn rụm với nhân tôm thịt đầy đặn. Rau sống tươi mát. Nước mắm đặc biệt.,Sài Gòn,"46A Đinh Công Tráng, P. Tân Định, Q.1, TP.HCM","bánh xèo, q1, sài gòn, nổi tiếng"
MON_SG_F006,Bún Thịt Nướng Cô Út,food,Bún thịt nướng với thịt heo nướng thơm lừng. Nước mắm chua ngọt. Quán ăn đông khách.,Sài Gòn,"77 Nguyễn Trãi, P. Bến Thành, Q.1, TP.HCM","bún thịt nướng, q1, sài gòn"
MON_SG_F007,Bánh Canh Cua 87,food,Bánh canh cua với nước dùng ngọt thanh. Thịt cua tươi ngon. Sợi bánh canh dai mềm.,Sài Gòn,"87 Trần Khắc Chân, P. Tân Định, Q.1, TP.HCM","bánh canh, cua, q1, sài gòn"
MON_SG_F008,Lẩu Dê Bà Hàng,food,Lẩu dê với thịt dê tươi ngon. Nước dùng thanh ngọt. Rau sống đa dạng.,Sài Gòn,"381 Nguyễn Trãi, P.7, Q.5, TP.HCM","lẩu, dê, q5, sài gòn"
MON_SG_F009,Chè Thái Sơn Ký,food,Chè thập cẩm với nhiều loại đậu. Nước cốt dừa béo ngậy. Món tráng miệng mát lạnh.,Sài Gòn,"135 Nguyễn Trãi, P. Bến Thành, Q.1, TP.HCM","chè, tráng miệng, q1, sài gòn"
MON_SG_F010,Gỏi Cuốn Nguyễn Hoàng,food,Gỏi cuốn tươi mát với tôm thịt. Bánh tráng mềm. Tương đậu phộng đặc biệt.,Sài Gòn,"46 Nguyễn Hoàng, P. Mỹ Bình, Q. Phú Nhuận, TP.HCM","gỏi cuốn, phú nhuận, sài gòn"
