text,intent,region
# Món ăn Sài Gòn - Bánh mì
Bánh mì Sài Gòn quán nào ngon,tim_mon_an,sai_gon
Cơm tấm Sài Gòn quán nào ngon,tim_mon_an,sai_gon
Bánh mì pate Sài Gòn,tim_mon_an,sai_gon
Bánh mì thịt nguội Sài Gòn,tim_mon_an,sai_gon
Bánh mì chả cá Sài Gòn,tim_mon_an,sai_gon
Bánh mì xíu mại Sài Gòn,tim_mon_an,sai_gon
Bánh mì ốp la Sài Gòn,tim_mon_an,sai_gon
Quán bánh mì ngon Sài Gòn,tim_mon_an,sai_gon
Bánh mì Huỳnh Hoa ở đâu,tim_mon_an,sai_gon
Bánh mì Hòa Mã ngon không,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Cơm tấm
Cơm tấm sườn bì chả,tim_mon_an,sai_gon
Cơm tấm Mộc quán nào,tim_mon_an,sai_gon
Cơm tấm Phúc Lộc Thọ,tim_mon_an,sai_gon
Cơm tấm Ba Ghiền ở đâu,tim_mon_an,sai_gon
Cơm tấm sườn nướng ngon,tim_mon_an,sai_gon
Cơm tấm trứng ốp la,tim_mon_an,sai_gon
Quán cơm tấm ngon Sài Gòn,tim_mon_an,sai_gon
Cơm tấm bì chả Sài Gòn,tim_mon_an,sai_gon
Cơm tấm Kiều Giang,tim_mon_an,sai_gon
Cơm tấm Sài Gòn đặc sản,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Hủ tiếu
Hủ tiếu Nam Vang ở đâu,tim_mon_an,sai_gon
Hủ tiếu khô Sài Gòn,tim_mon_an,sai_gon
Hủ tiếu Mỹ Tho ngon,tim_mon_an,sai_gon
Hủ tiếu Sa Đéc quán nào,tim_mon_an,sai_gon
Hủ tiếu gõ Sài Gòn,tim_mon_an,sai_gon
Hủ tiếu bò viên ngon,tim_mon_an,sai_gon
Quán hủ tiếu ngon Sài Gòn,tim_mon_an,sai_gon
Hủ tiếu Thanh Xuân ở đâu,tim_mon_an,sai_gon
Hủ tiếu Lệ quán nào,tim_mon_an,sai_gon
Hủ tiếu tôm cua Sài Gòn,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Bún
Bún thịt nướng Sài Gòn,tim_mon_an,sai_gon
Bún mắm Sài Gòn ngon,tim_mon_an,sai_gon
Bún riêu cua Sài Gòn,tim_mon_an,sai_gon
Bún bò Huế Sài Gòn,tim_mon_an,sai_gon
