id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
GL_00001,Ngoc Lam,Ẩm thực,nhà hàng,13.9809129,107.9950274,"Tiệm Ăn Ngọc Lâm, 127 Đường Phan Đình Phùng, Yên Đỗ, Pleiku, Gia Lai",Pleiku,Gia Lai,"Ngoc Lam là nhà hàng tại Pleiku, Gia Lai.",Ngoc Lam Ẩm thực nhà hàng Pleiku Gia Lai
GL_00002,Ngã Ba Phú Tài,Du lịch,địa điểm du lịch,13.7936198,109.1482424,"Đường Hùng Vương, Trần Quang Diệu, Quy Nhơn, Bình Định, 55119",Quy Nhơn,Gia Lai,"Ngã Ba Phú Tài là địa điểm du lịch tại Quy Nhơn, Gia Lai.",Ngã Ba Phú Tài Du lịch địa điểm du lịch Quy Nhơn Gia Lai
GL_00003,Hoang Anh Gia Lai,Du lịch,khách sạn,13.9724101,108.0146684,"Đường Nguyễn Tất Thành, Pleiku, Gia Lai, 61108",Pleiku,Gia Lai,"Hoang Anh Gia Lai là khách sạn tại Pleiku, Gia Lai.",Hoang Anh Gia Lai Du lịch khách sạn Pleiku Gia Lai
GL_00004,Hung Vuong,Du lịch,khách sạn,13.9768221,108.0063047,"8 Đường Lê Lợi, Hội Thương, Pleiku, Gia Lai, 61107",Pleiku,Gia Lai,"Hung Vuong là khách sạn tại Pleiku, Gia Lai.",Hung Vuong Du lịch khách sạn Pleiku Gia Lai
GL_00005,Pleiku Hotel,Du lịch,khách sạn,13.9816803,108.0083891,"141 Đường Phan Đình Giót, Hoa Lư, Pleiku, Gia Lai, 61109",Pleiku,Gia Lai,"Pleiku Hotel là khách sạn tại Pleiku, Gia Lai.",Pleiku Hotel Du lịch khách sạn Pleiku Gia Lai
GL_00006,Chợ trung tâm Pleiku,Du lịch,chợ truyền thống,13.9789735,107.9961475,"54 Đường Ngô Gia Tự, Diên Hồng, Pleiku, Gia Lai, 61112",Pleiku,Gia Lai,"Chợ trung tâm Pleiku là chợ truyền thống tại Pleiku, Gia Lai.",Chợ trung tâm Pleiku Du lịch chợ truyền thống Pleiku Gia Lai
GL_00007,Khách sạn Sài Gòn Quy Nhơn,Du lịch,khách sạn,13.7709541,109.2342493,"Atm DongA Bank, Lê Lợi, Quy Nhơn, Bình Định, 55107",Quy Nhơn,Gia Lai,"Khách sạn Sài Gòn Quy Nhơn là khách sạn tại Quy Nhơn, Gia Lai.",Khách sạn Sài Gòn Quy Nhơn Du lịch khách sạn Quy Nhơn Gia Lai
GL_00008,BẢO TÀNG TƯ NHÂN GỐM CỔ GÒ SÀNH VIJAYA - CHAMPA - BÌNH ĐỊNH,Du lịch,bảo tàng,13.7734048,109.2273345,"Dịch Vụ Internet Game Online Giang, 60 Đường Bà Triệu, Trần Phú, Quy Nhơn, Bình Định, 55110",Quy Nhơn,Gia Lai,"BẢO TÀNG TƯ NHÂN GỐM CỔ GÒ SÀNH VIJAYA - CHAMPA - BÌNH ĐỊNH là bảo tàng tại Quy Nhơn, Gia Lai.",BẢO TÀNG TƯ NHÂN GỐM CỔ GÒ SÀNH VIJAYA - CHAMPA - BÌNH ĐỊNH Du lịch bảo tàng Quy Nhơn Gia Lai
GL_00009,Chợ Đầm,Du lịch,chợ truyền thống,13.782407,109.2249884,"Cửa Hàng Điện Máy Tân Minh Phát, 109 Đường Hoàng Hoa Thám, Thị Nại, Quy Nhơn, Bình Định, 55115",Quy Nhơn,Gia Lai,"Chợ Đầm là chợ truyền thống tại Quy Nhơn, Gia Lai.",Chợ Đầm Du lịch chợ truyền thống Quy Nhơn Gia Lai
GL_00010,Khu du lịch Hầm Hô,Du lịch,địa điểm du lịch,13.8812779,108.8758198,"Tây Phú, Tây Sơn, Bình Định",Tây Sơn,Gia Lai,"Khu du lịch Hầm Hô là địa điểm du lịch tại Tây Sơn, Gia Lai.",Khu du lịch Hầm Hô Du lịch địa điểm du lịch Tây Sơn Gia Lai
GL_00011,Khu Du Lịch Đại Vinh Gia Trang,Du lịch,địa điểm du lịch,13.9994691,107.9916214,"Hẻm 23 Vạn Kiếp, Thống Nhất, Pleiku, Gia Lai, 61110",Pleiku,Gia Lai,"Khu Du Lịch Đại Vinh Gia Trang là địa điểm du lịch tại Pleiku, Gia Lai.",Khu Du Lịch Đại Vinh Gia Trang Du lịch địa điểm du lịch Pleiku Gia Lai
GL_00012,Hoang Huy,Du lịch,khách sạn,13.7481253,109.2139628,"64 Đường An Dương Vương, Nguyễn Văn Cừ, Quy Nhơn, Bình Định, 55113",Quy Nhơn,Gia Lai,"Hoang Huy là khách sạn tại Quy Nhơn, Gia Lai.",Hoang Huy Du lịch khách sạn Quy Nhơn Gia Lai
GL_00013,Thành Tâm,Ẩm thực,nhà hàng,13.9781418,108.0049932,"Cửa Hàng Vi Tính D & K, 8 Đường Quang Trung, Tây Sơn, Pleiku, Gia Lai, 61106",Pleiku,Gia Lai,"Thành Tâm là nhà hàng tại Pleiku, Gia Lai.",Thành Tâm Ẩm thực nhà hàng Pleiku Gia Lai
GL_00014,Hai Huong Hotel,Du lịch,khách sạn,13.7519796,109.2108259,"194 Đường Tây Sơn, Nguyễn Văn Cừ, Quy Nhơn, Bình Định, 55113",Quy Nhơn,Gia Lai,"Hai Huong Hotel là khách sạn tại Quy Nhơn, Gia Lai.",Hai Huong Hotel Du lịch khách sạn Quy Nhơn Gia Lai
GL_00015,Phú Phong,Du lịch,nhà nghỉ,13.909197,108.9154395,"Đường Quang Trung, Phú Phong, Tây Sơn, Bình Định, 55806",Tây Sơn,Gia Lai,"Phú Phong là nhà nghỉ tại Tây Sơn, Gia Lai.",Phú Phong Du lịch nhà nghỉ Tây Sơn Gia Lai
GL_00016,Sông Xanh,Ẩm thực,nhà hàng,13.8021274,109.1495882,"Diêu Trì, Tuy Phước, Bình Định",Tuy Phước,Gia Lai,"Sông Xanh là nhà hàng tại Tuy Phước, Gia Lai.",Sông Xanh Ẩm thực nhà hàng Tuy Phước Gia Lai
GL_00017,Hoàng Long 2,Ẩm thực,nhà hàng,13.8190525,109.1471956,"Đường Trần Phú, Diêu Trì, Tuy Phước, Bình Định, 55210",Tuy Phước,Gia Lai,"Hoàng Long 2 là nhà hàng tại Tuy Phước, Gia Lai.",Hoàng Long 2 Ẩm thực nhà hàng Tuy Phước Gia Lai
GL_00018,Hoàng Long,Ẩm thực,nhà hàng,13.8087824,109.1473405,"Đường Trần Phú, Diêu Trì, Tuy Phước, Bình Định, 55210",Tuy Phước,Gia Lai,"Hoàng Long là nhà hàng tại Tuy Phước, Gia Lai.",Hoàng Long Ẩm thực nhà hàng Tuy Phước Gia Lai
GL_00019,Ngọc Lan,Ẩm thực,quán cà phê,13.8246523,109.1691576,"Đường Nguyễn Huệ, Tuy Phước, Bình Định, 55206",Tuy Phước,Gia Lai,"Ngọc Lan là quán cà phê tại Tuy Phước, Gia Lai.",Ngọc Lan Ẩm thực quán cà phê Tuy Phước Gia Lai
GL_00020,Lộ Thiên,Ẩm thực,quán cà phê,13.8064448,109.1479498,"Đường Nguyễn Đình Thụ, Diêu Trì, Tuy Phước, Bình Định, 55210",Tuy Phước,Gia Lai,"Lộ Thiên là quán cà phê tại Tuy Phước, Gia Lai.",Lộ Thiên Ẩm thực quán cà phê Tuy Phước Gia Lai
GL_00021,Olympic,Ẩm thực,quán cà phê,13.8013162,109.1491278,"Diêu Trì, Tuy Phước, Bình Định",Tuy Phước,Gia Lai,"Olympic là quán cà phê tại Tuy Phước, Gia Lai.",Olympic Ẩm thực quán cà phê Tuy Phước Gia Lai
GL_00022,Đức Anh,Ẩm thực,nhà hàng,13.8092959,109.1501372,"Đường Tăng Bạt Hổ, Diêu Trì, Tuy Phước, Bình Định, 55210",Tuy Phước,Gia Lai,"Đức Anh là nhà hàng tại Tuy Phước, Gia Lai.",Đức Anh Ẩm thực nhà hàng Tuy Phước Gia Lai
