id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
LC_00001,Carved Boulder Museum,Du lịch,bảo tàng,22.304065,103.8985557,"Bãi Đá Cổ Sapa, Đường Cầu Mây, Hầu Thào, Sa Pa, Lào Cai, 31723",Sa Pa,Lào Cai,"Carved Boulder Museum là bảo tàng tại Sa Pa, Lào Cai.",Carved Boulder Museum Du lịch bảo tàng Sa Pa Lào Cai
LC_00002,Thien Hai Hotel,Du lịch,khách sạn,22.4915823,103.9784069,"2 Phố Hà Bổng, Phố Mới, Lào Cai, 31108",Lào Cai,Lào Cai,"Thien Hai Hotel là khách sạn tại Lào Cai, Lào Cai.",Thien Hai Hotel Du lịch khách sạn Lào Cai Lào Cai
LC_00003,Việt Hoa,Ẩm thực,nhà hàng,22.4914258,103.9772077,"Việt Hoa Hotel, 73 Đường Phan Đình Phùng, Phố Mới, Lào Cai, 31108",Lào Cai,Lào Cai,"Việt Hoa là nhà hàng tại Lào Cai, Lào Cai.",Việt Hoa Ẩm thực nhà hàng Lào Cai Lào Cai
LC_00004,Emotion,Ẩm thực,quán thức ăn nhanh,22.4917475,103.9770022,"Cafe Emotion, 65 Đường Phan Đình Phùng, Phố Mới, Lào Cai, 31108",Lào Cai,Lào Cai,"Emotion là quán thức ăn nhanh tại Lào Cai, Lào Cai.",Emotion Ẩm thực quán thức ăn nhanh Lào Cai Lào Cai
LC_00005,North Star Hotel,Du lịch,khách sạn,22.3368747,103.8459755,"Ngân Hàng Nông Nghiệp Và Phát Triển Nông Thôn Việt, Đường Hoàng Văn Thụ, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"North Star Hotel là khách sạn tại Sa Pa, Lào Cai.",North Star Hotel Du lịch khách sạn Sa Pa Lào Cai
LC_00006,Sapa Firer,Ẩm thực,nhà hàng,22.3328003,103.8435717,"Khách Sạn Holiday Sapa, 16 Đường Mường Hoa, Lao Chải, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Sapa Firer là nhà hàng tại Sa Pa, Lào Cai.",Sapa Firer Ẩm thực nhà hàng Sa Pa Lào Cai
LC_00007,Cha Pa Garden,Du lịch,khách sạn,22.3340559,103.8424978,"Nhà Hàng Và Bar Fansipăn, 23 Đường Cầu Mây, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Cha Pa Garden là khách sạn tại Sa Pa, Lào Cai.",Cha Pa Garden Du lịch khách sạn Sa Pa Lào Cai
LC_00008,Sapa Horizon Hotel,Du lịch,khách sạn,22.3343865,103.8423151,"Phố Phạm Xuân Huân, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Sapa Horizon Hotel là khách sạn tại Sa Pa, Lào Cai.",Sapa Horizon Hotel Du lịch khách sạn Sa Pa Lào Cai
LC_00009,Bamboo Sapa Hotel,Du lịch,khách sạn,22.3320555,103.8438561,"Khách Sạn BamBoo, 18 Đường Cầu Mây, Lao Chải, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Bamboo Sapa Hotel là khách sạn tại Sa Pa, Lào Cai.",Bamboo Sapa Hotel Du lịch khách sạn Sa Pa Lào Cai
LC_00010,Michell Restaurant,Ẩm thực,nhà hàng,22.3333453,103.8424254,"Khách Sạn Royal View, 34 Đường Cầu Mây, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Michell Restaurant là nhà hàng tại Sa Pa, Lào Cai.",Michell Restaurant Ẩm thực nhà hàng Sa Pa Lào Cai
LC_00011,Thu Hà,Du lịch,khách sạn,22.3358845,103.8441478,"Khách Sạn Thanh Thanh Hồng, 17 Đường Thạch Sơn, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Thu Hà là khách sạn tại Sa Pa, Lào Cai.",Thu Hà Du lịch khách sạn Sa Pa Lào Cai
LC_00012,Napoli's pizza,Ẩm thực,nhà hàng,22.3362749,103.8426919,"Bar Anbee Gine Cafe, Đường Xuân Viên, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Napoli's pizza là nhà hàng tại Sa Pa, Lào Cai.",Napoli's pizza Ẩm thực nhà hàng Sa Pa Lào Cai
LC_00013,The Lizard,Ẩm thực,nhà hàng,22.3346457,103.8413535,"ATM - Agribank, 1 Phố Hàm Rồng, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"The Lizard là nhà hàng tại Sa Pa, Lào Cai.",The Lizard Ẩm thực nhà hàng Sa Pa Lào Cai
LC_00014,Việt - Anh,Du lịch,khách sạn,22.3359666,103.8436441,"Nhà Hàng Hải Yến, 14 Đường Thạch Sơn, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Việt - Anh là khách sạn tại Sa Pa, Lào Cai.",Việt - Anh Du lịch khách sạn Sa Pa Lào Cai
LC_00015,Riverside II Hotel,Du lịch,khách sạn,22.3372096,103.8468757,"Phố Lê Văn Tám, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Riverside II Hotel là khách sạn tại Sa Pa, Lào Cai.",Riverside II Hotel Du lịch khách sạn Sa Pa Lào Cai
LC_00016,Viet Emotion,Ẩm thực,nhà hàng,22.3337884,103.8424662,"Nhà Hàng Hoa Đồng Tiên, 29 Đường Cầu Mây, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Viet Emotion là nhà hàng tại Sa Pa, Lào Cai.",Viet Emotion Ẩm thực nhà hàng Sa Pa Lào Cai
LC_00017,Sapa Eco-Home - Mountain retreat,Du lịch,khách sạn,22.3373207,103.8439379,"Siêu Thị Trung Tín, Đường Xuân Viên, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Sapa Eco-Home - Mountain retreat là khách sạn tại Sa Pa, Lào Cai.",Sapa Eco-Home - Mountain retreat Du lịch khách sạn Sa Pa Lào Cai
LC_00018,Thanh Son,Du lịch,khách sạn,22.3363404,103.8432161,"Nhà Hàng Cơm Nhà Ta, 41-43 Đường Xuân Viên, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Thanh Son là khách sạn tại Sa Pa, Lào Cai.",Thanh Son Du lịch khách sạn Sa Pa Lào Cai
LC_00019,Ngoc Vinh,Ẩm thực,quán bar,22.334916,103.842065,"Sapa Starlight, Lào Cai",,Lào Cai,"Ngoc Vinh là quán bar tại , Lào Cai.",Ngoc Vinh Ẩm thực quán bar  Lào Cai
LC_00020,Anh Tuan,Du lịch,khách sạn,22.3362718,103.8434396,"Tùng Lâm Hotel, 49 Đường Xuân Viên, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Anh Tuan là khách sạn tại Sa Pa, Lào Cai.",Anh Tuan Du lịch khách sạn Sa Pa Lào Cai
LC_00021,Linh Trang,Du lịch,khách sạn,22.335258,103.8445822,"Đường Thạch Sơn, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Linh Trang là khách sạn tại Sa Pa, Lào Cai.",Linh Trang Du lịch khách sạn Sa Pa Lào Cai
LC_00022,Memory Coffee,Ẩm thực,quán cà phê,22.3366701,103.8443326,"Cafe Nhân, Đường Ngũ Chỉ Sơn, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Memory Coffee là quán cà phê tại Sa Pa, Lào Cai.",Memory Coffee Ẩm thực quán cà phê Sa Pa Lào Cai
LC_00023,Lan Hương,Du lịch,khách sạn,22.335945,103.843792,"Khách Sạn Sao Khuê, 9 Đường Thạch Sơn, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Lan Hương là khách sạn tại Sa Pa, Lào Cai.",Lan Hương Du lịch khách sạn Sa Pa Lào Cai
LC_00024,Viêt Emotion,Du lịch,khách sạn,22.3362503,103.8424649,"Le Petit Gecko, Đường Xuân Viên, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Viêt Emotion là khách sạn tại Sa Pa, Lào Cai.",Viêt Emotion Du lịch khách sạn Sa Pa Lào Cai
LC_00025,Quỳnh Mai,Du lịch,khách sạn,22.3359669,103.843616,"Nhà Hàng Hải Yến, 14 Đường Thạch Sơn, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Quỳnh Mai là khách sạn tại Sa Pa, Lào Cai.",Quỳnh Mai Du lịch khách sạn Sa Pa Lào Cai
LC_00026,Đông Á,Du lịch,khách sạn,22.3361624,103.8448818,"Sapa Cozy Hotel, Lào Cai",,Lào Cai,"Đông Á là khách sạn tại , Lào Cai.",Đông Á Du lịch khách sạn  Lào Cai
LC_00027,Madame Thao Cafe & Breakfast,Ẩm thực,quán cà phê,22.3362449,103.842335,"Le Petit Gecko, Đường Xuân Viên, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Madame Thao Cafe & Breakfast là quán cà phê tại Sa Pa, Lào Cai.",Madame Thao Cafe & Breakfast Ẩm thực quán cà phê Sa Pa Lào Cai
LC_00028,Tùng Lâm,Du lịch,khách sạn,22.3363379,103.843336,"Tùng Lâm Hotel, 49 Đường Xuân Viên, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Tùng Lâm là khách sạn tại Sa Pa, Lào Cai.",Tùng Lâm Du lịch khách sạn Sa Pa Lào Cai
LC_00029,Nature View,Ẩm thực,nhà hàng,22.3325656,103.839818,"Nhà Hàng Nature View, Đường Phan Si Băng, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Nature View là nhà hàng tại Sa Pa, Lào Cai.",Nature View Ẩm thực nhà hàng Sa Pa Lào Cai
LC_00030,Bella Vista,Du lịch,khách sạn,22.3330467,103.840504,"Khách Sạn BoutiQue Sapa, 41 Đường Phan Si Băng, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Bella Vista là khách sạn tại Sa Pa, Lào Cai.",Bella Vista Du lịch khách sạn Sa Pa Lào Cai
LC_00031,Cat Cat Hotel,Du lịch,khách sạn,22.3330245,103.8400185,"Đường Phan Si Băng, Ô Quý Hồ, Sa Pa, Lào Cai, 31706",Sa Pa,Lào Cai,"Cat Cat Hotel là khách sạn tại Sa Pa, Lào Cai.",Cat Cat Hotel Du lịch khách sạn Sa Pa Lào Cai
