id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
QN_00001,Hoa Sim,Du lịch,khách sạn,14.5922755,108.2847295,"Đường Quốc Lộ 24, Đắk Long, Kon Plông, Kon Tum, 60256",Kon Plông,Hoa Sim là khách sạn tại Kon Plông.,Hoa Sim Du lịch khách sạn Kon Plông Quảng Ngãi
QN_00002,Chi cục kiểm lâm Quảng Ngãi,Khác,địa điểm,15.1217166,108.790479,"293A Đường Hùng Vương, Trần Phú, Quảng Ngãi, 53108",Quảng Ngãi,Chi cục kiểm lâm Quảng Ngãi là địa điểm tại Quảng Ngãi.,Chi cục kiểm lâm Quảng Ngãi Khác địa điểm Quảng Ngãi Quảng Ngãi
QN_00003,Sa Huỳnh,Du lịch,địa điểm du lịch,14.6659311,109.0795719,,,Sa Huỳnh là địa điểm du lịch tại Quảng Ngãi.,Sa Huỳnh Du lịch địa điểm du lịch  Quảng Ngãi
QN_00004,Phuong Hoang,Du lịch,khách sạn,15.3032532,108.7558695,"Đường Phạm Văn Đồng, Châu Ổ, Bình Sơn, Quảng Ngãi, 53306",Bình Sơn,Phuong Hoang là khách sạn tại Bình Sơn.,Phuong Hoang Du lịch khách sạn Bình Sơn Quảng Ngãi
QN_00005,Ngoc Anh,Du lịch,khách sạn,15.1223358,108.8030854,"Đường Phan Chu Trinh, Nguyễn Nghiêm, Quảng Ngãi, 53110",Quảng Ngãi,Ngoc Anh là khách sạn tại Quảng Ngãi.,Ngoc Anh Du lịch khách sạn Quảng Ngãi Quảng Ngãi
QN_00006,T-Junction of Indochina,Khác,địa điểm,14.6860984,107.556628,"Pờ Y, Ngọc Hồi, Kon Tum",Ngọc Hồi,T-Junction of Indochina là địa điểm tại Ngọc Hồi.,T-Junction of Indochina Khác địa điểm Ngọc Hồi Quảng Ngãi
QN_00007,Family Hotel,Du lịch,khách sạn,14.3498197,108.0068199,"Khách Sạn Family, 55 Đường Trần Hưng Đạo, Thống Nhất, Kon Tum",Kon Tum,Family Hotel là khách sạn tại Kon Tum.,Family Hotel Du lịch khách sạn Kon Tum Quảng Ngãi
QN_00008,Binh Minh Hotel,Du lịch,khách sạn,14.3501067,108.0061362,"110 Đường Trần Hưng Đạo, Thắng Lợi, Kon Tum, 60108",Kon Tum,Binh Minh Hotel là khách sạn tại Kon Tum.,Binh Minh Hotel Du lịch khách sạn Kon Tum Quảng Ngãi
QN_00009,Khách sạn Dakbla,Du lịch,khách sạn,14.3458472,108.0007128,"30 Đường Bạch Đằng, Quyết Thắng, Kon Tum, 60106",Kon Tum,Khách sạn Dakbla là khách sạn tại Kon Tum.,Khách sạn Dakbla Du lịch khách sạn Kon Tum Quảng Ngãi
QN_00010,Truc Hoang Ha,Du lịch,khách sạn,14.3480071,108.0100736,"38B Đường Ngô Quyền, Thống Nhất, Kon Tum, 60115",Kon Tum,Truc Hoang Ha là khách sạn tại Kon Tum.,Truc Hoang Ha Du lịch khách sạn Kon Tum Quảng Ngãi
QN_00011,Khách Sạn Bích Phương,Du lịch,khách sạn,14.3500444,108.0116508,"Đường Trần Hưng Đạo, Thắng Lợi, Kon Tum, 60108",Kon Tum,Khách Sạn Bích Phương là khách sạn tại Kon Tum.,Khách Sạn Bích Phương Du lịch khách sạn Kon Tum Quảng Ngãi
