id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
DIA_HY00002,Ks Á Đông,Du lịch,khách sạn,20.9668684,105.9935878,"Quốc Lộ 5, Trưng Trắc, Văn Lâm, Hưng Yên, 17615",Huyện Văn Lâm,Ks Á Đông là khách sạn tại Huyện Văn Lâm.,Ks Á Đông Du lịch khách sạn Huyện Văn Lâm
DIA_HY00007,Cửa Hàng Dụng Cụ Thể Dục Thể Thao Dũng Sport,Du lịch,siêu thị,20.7185896,106.1574234,"Đoàn Đào, Phù Cừ, Hưng Yên",Huyện Phù Cừ,Cửa Hàng Dụng Cụ Thể Dục Thể Thao Dũng Sport là siêu thị tại Huyện Phù Cừ.,Cửa Hàng Dụng Cụ Thể Dục Thể Thao Dũng Sport Du lịch siêu thị Huyện Phù Cừ
DIA_HY00009,Cơm,Ẩm thực,nhà hàng,20.6540502,106.0615928,"124 Đường Tô Hiệu, Hiến Nam, Hưng Yên, 17106",,Cơm là nhà hàng tại tỉnh Hưng Yên.,Cơm Ẩm thực nhà hàng
DIA_HY00013,Quán ăn Hà hà,Ẩm thực,nhà hàng,20.7599272,105.9885239,"Nhuế Dương, Khoái Châu, Hưng Yên",Huyện Khoái Châu,Quán ăn Hà hà là nhà hàng tại Huyện Khoái Châu.,Quán ăn Hà hà Ẩm thực nhà hàng Huyện Khoái Châu
DIA_HY00014,Cơm,Ẩm thực,nhà hàng,20.6829406,106.0605429,"307 Đường Nguyễn Văn LInh, An Tảo, Hưng Yên, 17107",,Cơm là nhà hàng tại tỉnh Hưng Yên.,Cơm Ẩm thực nhà hàng
DIA_HY00097,Trà Chanh Bụi Phố,Ẩm thực,quán cà phê,20.9215597,105.9311443,"Trạm Xăng Liêm Nghĩa, Liên Nghĩa, Văn Giang, Hưng Yên, 17663",Huyện Văn Giang,Trà Chanh Bụi Phố là quán cà phê tại Huyện Văn Giang.,Trà Chanh Bụi Phố Ẩm thực quán cà phê Huyện Văn Giang
DIA_HY00099,Ciao Garden,Ẩm thực,quán cà phê,20.974187,105.9223442,"Xuân Quan, Văn Giang, Hưng Yên",Huyện Văn Giang,Ciao Garden là quán cà phê tại Huyện Văn Giang.,Ciao Garden Ẩm thực quán cà phê Huyện Văn Giang
DIA_HY00100,Effoc coffee,Ẩm thực,quán cà phê,20.9507934,105.9418073,"Cửu Cao, Văn Giang, Hưng Yên",Huyện Văn Giang,Effoc coffee là quán cà phê tại Huyện Văn Giang.,Effoc coffee Ẩm thực quán cà phê Huyện Văn Giang
DIA_HY00101,Eagle coffee,Ẩm thực,quán cà phê,20.9741645,105.9225193,"Xuân Quan, Văn Giang, Hưng Yên",Huyện Văn Giang,Eagle coffee là quán cà phê tại Huyện Văn Giang.,Eagle coffee Ẩm thực quán cà phê Huyện Văn Giang
DIA_HY00103,Nhà thuốc Hoàng Duyên,Du lịch,siêu thị,20.8619842,106.1211852,"Đường Quốc Lộ 38, Bãi Sậy, Ân Thi, Hưng Yên, 17409",Huyện Ân Thi,Nhà thuốc Hoàng Duyên là siêu thị tại Huyện Ân Thi.,Nhà thuốc Hoàng Duyên Du lịch siêu thị Huyện Ân Thi
DIA_HY00104,AEON MaxValu,Du lịch,siêu thị,20.9533568,105.9389933,"Phụng Công, Văn Giang, Hưng Yên",Huyện Văn Giang,AEON MaxValu là siêu thị tại Huyện Văn Giang.,AEON MaxValu Du lịch siêu thị Huyện Văn Giang
DIA_HY00105,Starbucks,Ẩm thực,quán cà phê,20.9717724,105.929336,"Công Viên Mùa Hạ, Ecopark, Xuân Quan, Văn Giang, Hưng Yên, 17657",Huyện Văn Giang,Starbucks là quán cà phê tại Huyện Văn Giang.,Starbucks Ẩm thực quán cà phê Huyện Văn Giang
DIA_HY00108,UBND xã Quảng Lãng,Du lịch,công viên,20.8086197,106.0664097,"Quảng Lãng, Ân Thi, Hưng Yên",Huyện Ân Thi,UBND xã Quảng Lãng là công viên tại Huyện Ân Thi.,UBND xã Quảng Lãng Du lịch công viên Huyện Ân Thi
DIA_HY00109,Siêu Thị Tiện Lợi Huy Hùng,Du lịch,siêu thị,20.9394093,106.0415839,"Quốc Lộ 5, Bần Yên Nhân, Mỹ Hào, Hưng Yên, 17506",Thị xã Mỹ Hào,Siêu Thị Tiện Lợi Huy Hùng là siêu thị tại Thị xã Mỹ Hào.,Siêu Thị Tiện Lợi Huy Hùng Du lịch siêu thị Thị xã Mỹ Hào
DIA_HY00113,Tàu Cướp Biển CaRiBe,Du lịch,địa điểm du lịch,20.9550602,105.979284,"Nghĩa Trụ, Văn Giang, Hưng Yên",Huyện Văn Giang,Tàu Cướp Biển CaRiBe là địa điểm du lịch tại Huyện Văn Giang.,Tàu Cướp Biển CaRiBe Du lịch địa điểm du lịch Huyện Văn Giang
DIA_HY00114,Công viên Bella,Du lịch,công viên,20.9542462,105.9773546,"Nghĩa Trụ, Văn Giang, Hưng Yên",Huyện Văn Giang,Công viên Bella là công viên tại Huyện Văn Giang.,Công viên Bella Du lịch công viên Huyện Văn Giang
DIA_HY00116,Highlands Coffee,Ẩm thực,quán cà phê,20.9738685,105.9239223,"Xuân Quan, Văn Giang, Hưng Yên",Huyện Văn Giang,Highlands Coffee là quán cà phê tại Huyện Văn Giang.,Highlands Coffee Ẩm thực quán cà phê Huyện Văn Giang
DIA_HY00117,Hoàng Gia Coffee & Tea,Ẩm thực,quán cà phê,20.6612702,106.0589611,"1 Đường An Vũ, Hiến Nam, Hưng Yên, 17106",,Hoàng Gia Coffee & Tea là quán cà phê tại tỉnh Hưng Yên.,Hoàng Gia Coffee & Tea Ẩm thực quán cà phê
DIA_HY00118,Công Ty Cổ Phần ABC Việt Nam,Du lịch,siêu thị,20.7133865,106.1474701,"Đoàn Đào, Phù Cừ, Hưng Yên",Huyện Phù Cừ,Công Ty Cổ Phần ABC Việt Nam là siêu thị tại Huyện Phù Cừ.,Công Ty Cổ Phần ABC Việt Nam Du lịch siêu thị Huyện Phù Cừ
DIA_HY00120,AEON MaxValu,Du lịch,siêu thị,20.9545348,105.9318572,"Phụng Công, Văn Giang, Hưng Yên",Huyện Văn Giang,AEON MaxValu là siêu thị tại Huyện Văn Giang.,AEON MaxValu Du lịch siêu thị Huyện Văn Giang
DIA_HY00121,KFC,Ẩm thực,quán thức ăn nhanh,20.9502001,105.9344827,"Phụng Công, Văn Giang, Hưng Yên",Huyện Văn Giang,KFC là quán thức ăn nhanh tại Huyện Văn Giang.,KFC Ẩm thực quán thức ăn nhanh Huyện Văn Giang
DIA_HY00122,Highlands Coffee,Ẩm thực,quán cà phê,20.9494165,105.9345348,"Phụng Công, Văn Giang, Hưng Yên",Huyện Văn Giang,Highlands Coffee là quán cà phê tại Huyện Văn Giang.,Highlands Coffee Ẩm thực quán cà phê Huyện Văn Giang
DIA_HY00123,AEON MaxValu,Du lịch,siêu thị,20.9505741,105.933709,"Phụng Công, Văn Giang, Hưng Yên",Huyện Văn Giang,AEON MaxValu là siêu thị tại Huyện Văn Giang.,AEON MaxValu Du lịch siêu thị Huyện Văn Giang
DIA_HY00124,Pizza Hut,Ẩm thực,nhà hàng,20.9497279,105.9338949,"Phụng Công, Văn Giang, Hưng Yên",Huyện Văn Giang,Pizza Hut là nhà hàng tại Huyện Văn Giang.,Pizza Hut Ẩm thực nhà hàng Huyện Văn Giang
