id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
DIA_NA00001,Phasala Hotel ,Du lịch,khách sạn,18.5022498,104.456,"Route 1D, Viengthong, Bolikhamxai, 11050, LAO",,Phasala Hotel  là khách sạn tại TP.HCM.,Phasala Hotel  Du lịchkhách sạn
DIA_NA00002,Noy Chalern Houng Heaung Hotel,Du lịch,khách sạn,18.5201038,104.4456675,"Route 1D, Viengthong, Bolikhamxai, 11050, LAO",,Noy Chalern Houng Heaung Hotel là khách sạn tại TP.HCM.,Noy Chalern Houng Heaung Hotel Du lịchkhách sạn
DIA_NA00003,Chill Chill Café,Ẩm thực,quán cà phê,18.3013402,104.1120432,"Route 13, Pakkading, Bolikhamxai, 11020, LAO",,Chill Chill Café là quán cà phê tại TP.HCM.,Chill Chill Café Ẩm thựcquán cà phê
DIA_NA00004,Simple,Ẩm thực,nhà hàng,18.7639969,103.913389,"Route 1D, Bolikhanh, Bolikhamxai, 11011, LAO",,Simple là nhà hàng tại TP.HCM.,Simple Ẩm thựcnhà hàng
DIA_NA00005,Small,Ẩm thực,nhà hàng,18.6941696,104.0301268,"Route 1D, Bolikhanh, Bolikhamxai, 09050, LAO",,Small là nhà hàng tại TP.HCM.,Small Ẩm thựcnhà hàng
DIA_NA00006,ຮ້ານອາຫານໂສເຈ້ງ,Ẩm thực,nhà hàng,18.3244752,103.8842499,"Route 13, Pakxan, Bolikhamxai, 11020, LAO",,ຮ້ານອາຫານໂສເຈ້ງ là nhà hàng tại TP.HCM.,ຮ້ານອາຫານໂສເຈ້ງ Ẩm thựcnhà hàng
DIA_NA00007,ຮ້ານອາຫານ ເຮືອນໄມ້ The Wooden House Restaurant,Ẩm thực,nhà hàng,18.3523303,103.9681757,"Pakkading, Bolikhamxai, LAO",,ຮ້ານອາຫານ ເຮືອນໄມ້ The Wooden House Restaurant là nhà hàng tại TP.HCM.,ຮ້ານອາຫານ ເຮືອນໄມ້ The Wooden House Restaurant Ẩm thựcnhà hàng
DIA_NA00008,Bach Dai Dong,Du lịch,khách sạn,18.5085969,105.4237962,"Quốc Lộ 8, Phố Châu, Hương Sơn, Hà Tĩnh, 45806",,Bach Dai Dong là khách sạn tại TP.HCM.,Bach Dai Dong Du lịchkhách sạn
DIA_NA00009,Backpackers  Hotel,Du lịch,khách sạn,18.5066359,105.4244142,"Phố Châu, Hương Sơn, Hà Tĩnh",,Backpackers  Hotel là khách sạn tại TP.HCM.,Backpackers  Hotel Du lịchkhách sạn
DIA_NA00010,Khách sạn Ngàn Phố,Du lịch,khách sạn,18.5091285,105.4242855,"Quốc Lộ 8, Phố Châu, Hương Sơn, Hà Tĩnh, 45806",,Khách sạn Ngàn Phố là khách sạn tại TP.HCM.,Khách sạn Ngàn Phố Du lịchkhách sạn
DIA_NA00011,Vu Quang,Du lịch,khách sạn,18.3823458,105.4977136,"Đường Hồ Chí Minh, Vũ Quang, Hà Tĩnh, 45906",,Vu Quang là khách sạn tại TP.HCM.,Vu Quang Du lịchkhách sạn
DIA_NA00012,Vu Quang Hotel,Du lịch,khách sạn,18.3804113,105.4980784,"Vũ Quang, Hà Tĩnh",,Vu Quang Hotel là khách sạn tại TP.HCM.,Vu Quang Hotel Du lịchkhách sạn
DIA_NA00013,Vuvuzela,Ẩm thực,quán bar,18.6753014,105.6742114,"47 Đường Quang Trung, Quang Trung, Vinh, Nghệ An, 43112",,Vuvuzela là quán bar tại TP.HCM.,Vuvuzela Ẩm thựcquán bar
DIA_NA00014,Viet thai hotel,Du lịch,khách sạn,18.5293893,105.7069392,"16 Đường Quang Trung, Nam Hồng, Hồng Lĩnh, Hà Tĩnh",,Viet thai hotel là khách sạn tại TP.HCM.,Viet thai hotel Du lịchkhách sạn
DIA_NA00015,Bún bò đò trai,Ẩm thực,quán thức ăn nhanh,18.5363538,105.666025,"Đường Trần Phú, Thái Yên, Đức Thọ, Hà Tĩnh, 45719",,Bún bò đò trai là quán thức ăn nhanh tại TP.HCM.,Bún bò đò trai Ẩm thựcquán thức ăn nhanh
DIA_NA00016,Chicken Restaurant,Ẩm thực,nhà hàng,18.684655,105.68095,"Đường Đốc Thiết, Hưng Bình, Vinh, Nghệ An, 43111",,Chicken Restaurant là nhà hàng tại TP.HCM.,Chicken Restaurant Ẩm thựcnhà hàng
DIA_NA00017,Minh Tu,Du lịch,khách sạn,18.536332,105.43155,"Đường Hồ Chí Minh, Sơn Trung, Hương Sơn, Hà Tĩnh, 45807",,Minh Tu là khách sạn tại TP.HCM.,Minh Tu Du lịchkhách sạn
DIA_NA00018,Bún Bò Đò Trai - Bún Đen Đức Thọ,Ẩm thực,nhà hàng,18.6581706,105.7000921,"72 Đường Nguyễn Văn Trỗi, Bến Thủy, Vinh, Nghệ An, 43108",,Bún Bò Đò Trai - Bún Đen Đức Thọ là nhà hàng tại TP.HCM.,Bún Bò Đò Trai - Bún Đen Đức Thọ Ẩm thựcnhà hàng
DIA_NA00019,ks huu nghi,Du lịch,khách sạn,18.6860274,105.6751278,"Đường Lê Lợi, Hưng Bình, Vinh, Nghệ An",,ks huu nghi là khách sạn tại TP.HCM.,ks huu nghi Du lịchkhách sạn
DIA_NA00020,Linh BBM,Ẩm thực,quán cà phê,18.630608,105.65049,"Hưng Mỹ, Hưng Nguyên, Nghệ An",,Linh BBM là quán cà phê tại TP.HCM.,Linh BBM Ẩm thựcquán cà phê
