id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
AG_00001,Chợ Dương Đông,Du lịch,chợ truyền thống,10.2206293,103.9591854,"Đường Ngô Quyền, Dương Đông, Phú Quốc, Kiên Giang, 92506",Phú Quốc,Chợ Dương Đông là chợ truyền thống tại Phú Quốc.,Chợ Dương Đông Du lịch chợ truyền thống Phú Quốc An Giang
AG_00002,Mai House resort,Du lịch,nhà khách/homestay,10.1963728,103.9645134,"Dương Tơ, Phú Quốc, Kiên Giang",Phú Quốc,Mai House resort là nhà khách/homestay tại Phú Quốc.,Mai House resort Du lịch nhà khách/homestay Phú Quốc An Giang
AG_00003,Duc Ninh Pepper Farm,Du lịch,địa điểm du lịch,10.2100119,103.9850305,"Đường Tỉnh Lộ 973, Dương Tơ, Phú Quốc, Kiên Giang, 92509",Phú Quốc,Duc Ninh Pepper Farm là địa điểm du lịch tại Phú Quốc.,Duc Ninh Pepper Farm Du lịch địa điểm du lịch Phú Quốc An Giang
AG_00004,Bien Duong Bungalows,Ẩm thực,nhà hàng,10.2527544,103.9424096,"Cửa Dương, Phú Quốc, Kiên Giang",Phú Quốc,Bien Duong Bungalows là nhà hàng tại Phú Quốc.,Bien Duong Bungalows Ẩm thực nhà hàng Phú Quốc An Giang
AG_00005,Chen Sea Resort,Du lịch,khách sạn,10.2509972,103.9443771,"Cửa Dương, Phú Quốc, Kiên Giang",Phú Quốc,Chen Sea Resort là khách sạn tại Phú Quốc.,Chen Sea Resort Du lịch khách sạn Phú Quốc An Giang
AG_00006,Nhà khách VQG UMT,Du lịch,nhà khách/homestay,9.645887,105.1042145,"An Minh Bắc, U Minh Thượng, Kiên Giang",U Minh Thượng,Nhà khách VQG UMT là nhà khách/homestay tại U Minh Thượng.,Nhà khách VQG UMT Du lịch nhà khách/homestay U Minh Thượng An Giang
AG_00007,Hương Tràm,Du lịch,khách sạn,9.6581403,105.1136413,"An Minh Bắc, U Minh Thượng, Kiên Giang",U Minh Thượng,Hương Tràm là khách sạn tại U Minh Thượng.,Hương Tràm Du lịch khách sạn U Minh Thượng An Giang
AG_00008,Kem Buddy,Ẩm thực,quán cà phê,10.2166599,103.9601123,"Đường Nguyễn Trãi, Dương Đông, Phú Quốc, Kiên Giang, 92506",Phú Quốc,Kem Buddy là quán cà phê tại Phú Quốc.,Kem Buddy Ẩm thực quán cà phê Phú Quốc An Giang
AG_00009,Trung nguyen hotel ,Du lịch,khách sạn,10.710804,105.1180904,"Cửa Hàng Lệ Hằng, Đường Bạch Đằng, Châu Phú A, Châu Đốc, An Giang, 90507",Châu Đốc,Trung nguyen hotel  là khách sạn tại Châu Đốc.,Trung nguyen hotel  Du lịch khách sạn Châu Đốc An Giang
AG_00010,Freedomland,Du lịch,khách sạn,10.2685721,103.9351489,"Cửa Dương, Phú Quốc, Kiên Giang",Phú Quốc,Freedomland là khách sạn tại Phú Quốc.,Freedomland Du lịch khách sạn Phú Quốc An Giang
AG_00011,Cafe Pho Biem,Ẩm thực,nhà hàng,10.2167911,103.9571162,"Hải Đăng, Đường Bạch Đằng, Dương Đông, Phú Quốc, Kiên Giang, 92506",Phú Quốc,Cafe Pho Biem là nhà hàng tại Phú Quốc.,Cafe Pho Biem Ẩm thực nhà hàng Phú Quốc An Giang
AG_00012,Hoa Mai Hotel,Du lịch,khách sạn,10.3808344,104.4874712,"Khách Sạn Hoa Mai, Đường Trần Hầu, Bình San, Hà Tiên, Kiên Giang",Hà Tiên,Hoa Mai Hotel là khách sạn tại Hà Tiên.,Hoa Mai Hotel Du lịch khách sạn Hà Tiên An Giang
AG_00013,Hotel Du Hung 2,Du lịch,khách sạn,10.3801168,104.4850197,"Nhà Nghỉ Tứ Hải, Đường Trần Hầu, Bình San, Hà Tiên, Kiên Giang",Hà Tiên,Hotel Du Hung 2 là khách sạn tại Hà Tiên.,Hotel Du Hung 2 Du lịch khách sạn Hà Tiên An Giang
AG_00014,Oasis Bar,Ẩm thực,quán bar,10.3815568,104.4887379,"Đại Lý Nước Mắm Phú Quốc Huỳnh Nam Ký, 22 Đường Trần Hầu, Đông Hồ, Hà Tiên, Kiên Giang, 91506",Hà Tiên,Oasis Bar là quán bar tại Hà Tiên.,Oasis Bar Ẩm thực quán bar Hà Tiên An Giang
AG_00015,Ha Tien Floating Resturant,Ẩm thực,nhà hàng,10.3799057,104.487085,"Đường Nhật Tảo, Bình San, Hà Tiên, Kiên Giang, 91507",Hà Tiên,Ha Tien Floating Resturant là nhà hàng tại Hà Tiên.,Ha Tien Floating Resturant Ẩm thực nhà hàng Hà Tiên An Giang
AG_00016,Hotel Du Hung,Du lịch,khách sạn,10.3805766,104.4866823,"Cafe Ngọc Hương, Đường Trần Hầu, Bình San, Hà Tiên, Kiên Giang, 91507",Hà Tiên,Hotel Du Hung là khách sạn tại Hà Tiên.,Hotel Du Hung Du lịch khách sạn Hà Tiên An Giang
AG_00017,Gia Binh Dan Coffee,Ẩm thực,quán cà phê,10.3816642,104.4890698,"Đường Tham Tướng Sanh, Đông Hồ, Hà Tiên, Kiên Giang, 91506",Hà Tiên,Gia Binh Dan Coffee là quán cà phê tại Hà Tiên.,Gia Binh Dan Coffee Ẩm thực quán cà phê Hà Tiên An Giang
AG_00018,Hiệp Phong,Du lịch,nhà khách/homestay,10.2166452,103.9598993,"Khách Sạn Hiệp Phong, 17 Đường Nguyễn Trãi, Dương Đông, Phú Quốc, Kiên Giang",Phú Quốc,Hiệp Phong là nhà khách/homestay tại Phú Quốc.,Hiệp Phong Du lịch nhà khách/homestay Phú Quốc An Giang
