id,name,base_food,city,region,category,price_vnd,description
FOOD00001,Cơm chiên Cần Thơ,Cơm chiên,Cần Thơ,Nam,Lẩu,115480,"Cơm chiên là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00002,Bánh xèo Đà Nẵng,Bánh xèo,Đà Nẵng,Trung,Món cuốn,117693,"Bánh xèo là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00003,Lẩu hải sản Hà Nội,Lẩu hải sản,Hà Nội,Bắc,Món cuốn,67607,"Lẩu hải sản là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00004,Bún đậu mắm tôm Huế,Bún đậu mắm tôm,Huế,Trung,Món cuốn,61468,"Bún đậu mắm tôm là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00005,Bún mắm Cần Thơ,Bún mắm,Cần Thơ,Nam,Món chiên,75166,"Bún mắm là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00006,Mì Quảng Đà Nẵng,Mì Quảng,Đà Nẵng,Trung,Món cuốn,116053,"Mì Quảng là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00007,Cơm chiên Huế,Cơm chiên,Huế,Trung,Món nướng,83438,"Cơm chiên là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00008,Phở gà Hà Nội,Phở gà,Hà Nội,Bắc,Món nước,55699,"Phở gà là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00009,Bánh cuốn Sài Gòn,Bánh cuốn,Sài Gòn,Nam,Món chiên,46994,"Bánh cuốn là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00010,Lẩu bò Hải Phòng,Lẩu bò,Hải Phòng,Bắc,Món nướng,43080,"Lẩu bò là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00011,Phở bò Huế,Phở bò,Huế,Trung,Món khô,33252,"Phở bò là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00012,Bún bò Huế Hà Nội,Bún bò Huế,Hà Nội,Bắc,Món nước,73267,"Bún bò Huế là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00013,Phở bò Đà Nẵng,Phở bò,Đà Nẵng,Trung,Món nướng,51515,"Phở bò là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00014,Lẩu thái Hà Nội,Lẩu thái,Hà Nội,Bắc,Món nước,22548,"Lẩu thái là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00015,Bánh ít Sài Gòn,Bánh ít,Sài Gòn,Nam,Món nước,105713,"Bánh ít là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
