id,name,rating,reviews,domain,category_vi,address,district,description,search_text
GMAP_DB00001,Hương Rừng (Lien Tuoi) Restaurant,"4,0",105,Khác,địa điểm,"64 Hoàng Văn Thái, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Hương Rừng (Lien Tuoi) Restaurant là địa điểm tại 64 Hoàng Văn Thái, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,0 sao (105 đánh giá).","Hương Rừng (Lien Tuoi) Restaurant Khác địa điểm 64 Hoàng Văn Thái, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00002,Sở chỉ huy Chiến dịch Điện Biên Phủ,"4,7",324,Khác,địa điểm,"F535+GX9 Di tích Lịch sử, Quốc lộ 279B, bản Phăng, h. Điện Biên, Điện Biên, Việt Nam",Điện Biên,"Sở chỉ huy Chiến dịch Điện Biên Phủ là địa điểm tại F535+GX9 Di tích Lịch sử, Quốc lộ 279B, bản Phăng, h. Điện Biên, Điện Biên, Việt Nam. Được đánh giá 4,7 sao (324 đánh giá).","Sở chỉ huy Chiến dịch Điện Biên Phủ Khác địa điểm F535+GX9 Di tích Lịch sử, Quốc lộ 279B, bản Phăng, h. Điện Biên, Điện Biên, Việt Nam"
GMAP_DB00003,Nhà Hàng Nhất Khương,"4,1",56,Khác,địa điểm,"Na Lay, Mường Lay, Điện Biên, Việt Nam",Điện Biên,"Nhà Hàng Nhất Khương là địa điểm tại Na Lay, Mường Lay, Điện Biên, Việt Nam. Được đánh giá 4,1 sao (56 đánh giá).","Nhà Hàng Nhất Khương Khác địa điểm Na Lay, Mường Lay, Điện Biên, Việt Nam"
GMAP_DB00004,A Thía Homestay Villa,"4,8",95,Khác,địa điểm,"92CC+WGF, Nam Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"A Thía Homestay Villa là địa điểm tại 92CC+WGF, Nam Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,8 sao (95 đánh giá).","A Thía Homestay Villa Khác địa điểm 92CC+WGF, Nam Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00005,Nhà hàng HOÀ MINH PIÊU QUÁN,"4,4",26,Khác,địa điểm,"55 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà hàng HOÀ MINH PIÊU QUÁN là địa điểm tại 55 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,4 sao (26 đánh giá).","Nhà hàng HOÀ MINH PIÊU QUÁN Khác địa điểm 55 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00006,Nhà Hàng Cường Chỉnh,"4,3",72,Khác,địa điểm,"108 Hoàng Công Chất, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Nhà Hàng Cường Chỉnh là địa điểm tại 108 Hoàng Công Chất, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,3 sao (72 đánh giá).","Nhà Hàng Cường Chỉnh Khác địa điểm 108 Hoàng Công Chất, Phường Mường Thanh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00007,Coffee nét xưa,"4,3",59,Khác,địa điểm,"45 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Coffee nét xưa là địa điểm tại 45 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,3 sao (59 đánh giá).","Coffee nét xưa Khác địa điểm 45 Trần Đăng Ninh, Thanh Bình, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00008,Quán Huệ Trang (Đỉnh đèo Pha Đin),"4,0",105,Khác,địa điểm,"HG8J+P64, QL6, Toả Tình, Tuần Giáo, Điện Biên, Việt Nam",Điện Biên,"Quán Huệ Trang (Đỉnh đèo Pha Đin) là địa điểm tại HG8J+P64, QL6, Toả Tình, Tuần Giáo, Điện Biên, Việt Nam. Được đánh giá 4,0 sao (105 đánh giá).","Quán Huệ Trang (Đỉnh đèo Pha Đin) Khác địa điểm HG8J+P64, QL6, Toả Tình, Tuần Giáo, Điện Biên, Việt Nam"
GMAP_DB00009,Ecolodge Kê Nênh,"4,6",350,Khác,địa điểm,"Thanh Minh, Điện Biên Phủ, Điện Biên, Việt Nam",Điện Biên,"Ecolodge Kê Nênh là địa điểm tại Thanh Minh, Điện Biên Phủ, Điện Biên, Việt Nam. Được đánh giá 4,6 sao (350 đánh giá).","Ecolodge Kê Nênh Khác địa điểm Thanh Minh, Điện Biên Phủ, Điện Biên, Việt Nam"
GMAP_DB00010,BẾP NÀNG KIM,"4,6",17,Khác,địa điểm,"Bản Ten, B, Phường, Mường Thanh, Điện Biên 32000, Việt Nam",Điện Biên,"BẾP NÀNG KIM là địa điểm tại Bản Ten, B, Phường, Mường Thanh, Điện Biên 32000, Việt Nam. Được đánh giá 4,6 sao (17 đánh giá).","BẾP NÀNG KIM Khác địa điểm Bản Ten, B, Phường, Mường Thanh, Điện Biên 32000, Việt Nam"
