id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
DIA_DN00001,Chợ Vĩnh Tân,Du lịch,chợ,11.0437006,107.0186129,"Tỉnh Lộ 767, Vĩnh Tân, Vĩnh Cửu, Đồng Nai, 76912",Huyện Vĩnh Cửu,Chợ Vĩnh Tân là chợ tại Huyện Vĩnh Cửu.,Chợ Vĩnh Tân chợ Huyện Vĩnh Cửu
DIA_DN00002,Banh Bao 69,Ẩm thực,nhà hàng,10.696603,107.014973,"Bò Sữa Long Thành 3, Phước Thái, Long Thành, Đồng Nai",Huyện Long Thành,Banh Bao 69 là nhà hàng tại Huyện Long Thành.,Banh Bao 69 nhà hàng Huyện Long Thành
DIA_DN00003,Thanh Long 1,Ẩm thực,nhà hàng,10.697091,107.014619,"Quốc Lộ 51, Phước Thái, Long Thành, Đồng Nai, 76214",Huyện Long Thành,Thanh Long 1 là nhà hàng tại Huyện Long Thành.,Thanh Long 1 nhà hàng Huyện Long Thành
DIA_DN00004,Thanh Long 2,Ẩm thực,nhà hàng,10.697138,107.015201,"Quán Võng Bánh Bao 69 Tường Vy, Đường Quốc Lộ 51, Phước Thái, Long Thành, Đồng Nai, 76214",Huyện Long Thành,Thanh Long 2 là nhà hàng tại Huyện Long Thành.,Thanh Long 2 nhà hàng Huyện Long Thành
DIA_DN00005,Hải Hằng,Ẩm thực,nhà hàng,10.697362,107.014456,"Quốc Lộ 51, Phước Thái, Long Thành, Đồng Nai, 76214",Huyện Long Thành,Hải Hằng là nhà hàng tại Huyện Long Thành.,Hải Hằng nhà hàng Huyện Long Thành
DIA_DN00006,Ba Nhánh 2,Ẩm thực,nhà hàng,10.682323,107.024618,"Tiện Hàn Công Minh, 1780 Đường Quốc Lộ 51, Phước Thái, Long Thành, Đồng Nai, 76214",Huyện Long Thành,Ba Nhánh 2 là nhà hàng tại Huyện Long Thành.,Ba Nhánh 2 nhà hàng Huyện Long Thành
DIA_DN00007,Market,Du lịch,chợ,10.688255,107.020542,"Tạp Hóa Thiết Loan, Đường Quốc Lộ 51, Phước Thái, Long Thành, Đồng Nai, 76214",Huyện Long Thành,Market là chợ tại Huyện Long Thành.,Market chợ Huyện Long Thành
DIA_DN00008,Ap 3,Du lịch,chợ,10.692771,107.0163,"Phước Thái, Long Thành, Đồng Nai",Huyện Long Thành,Ap 3 là chợ tại Huyện Long Thành.,Ap 3 chợ Huyện Long Thành
DIA_DN00009,Ấp Tập Phước,Du lịch,chợ,10.706494,107.006428,"Quốc Lộ 51, Long Phước, Long Thành, Đồng Nai, 76213",Huyện Long Thành,Ấp Tập Phước là chợ tại Huyện Long Thành.,Ấp Tập Phước chợ Huyện Long Thành
DIA_DN00010,Ấp Long Phú,Du lịch,chợ,10.686698,107.020589,"Phước Thái, Long Thành, Đồng Nai",Huyện Long Thành,Ấp Long Phú là chợ tại Huyện Long Thành.,Ấp Long Phú chợ Huyện Long Thành
DIA_DN00011,Ấp Đất Mới,Du lịch,chợ,10.72898,106.989644,"2 Hẻm 1122/17 Quốc Lộ 51, Long Phước, Long Thành, Đồng Nai, 76213",Huyện Long Thành,Ấp Đất Mới là chợ tại Huyện Long Thành.,Ấp Đất Mới chợ Huyện Long Thành
DIA_DN00012,Goody,Du lịch,khách sạn,11.1594064,107.2787073,"Đường Hùng Vương, Phú Ngọc, Định Quán, Đồng Nai, 76713",Huyện Định Quán,Goody là khách sạn tại Huyện Định Quán.,Goody khách sạn Huyện Định Quán
DIA_DN00013,Cafe Tra My,Ẩm thực,quán cà phê,11.0129158,107.1743872,"Cafe Trà Mi, Quang Trung, Thống Nhất, Đồng Nai, 76407",Huyện Thống Nhất,Cafe Tra My là quán cà phê tại Huyện Thống Nhất.,Cafe Tra My quán cà phê Huyện Thống Nhất
DIA_DN00014,Tao Ngộ Miền Tây,Ẩm thực,nhà hàng,11.2953863,107.5012174,"Đường Hùng Vương, Phú Bình, Tân Phú, Đồng Nai, 76822",Huyện Tân Phú,Tao Ngộ Miền Tây là nhà hàng tại Huyện Tân Phú.,Tao Ngộ Miền Tây nhà hàng Huyện Tân Phú
