text,intent
Bánh mì Sài Gòn quán nào ngon,tim_mon_an
Cơm tấm Sài Gòn quán nào ngon,tim_mon_an
Bánh mì pate Sài Gòn,tim_mon_an
Bánh mì thịt nguội Sài Gòn,tim_mon_an
Bánh mì chả cá Sài Gòn,tim_mon_an
Bánh mì xíu mại Sài Gòn,tim_mon_an
Bánh mì ốp la Sài Gòn,tim_mon_an
Quán bánh mì ngon Sài Gòn,tim_mon_an
Bánh mì Huỳnh Hoa ở đâu,tim_mon_an
Bánh mì Hòa Mã ngon không,tim_mon_an
Cơm tấm sườn bì chả,tim_mon_an
Cơm tấm Mộc quán nào,tim_mon_an
Cơm tấm Phúc Lộc Thọ,tim_mon_an
Cơm tấm Ba Ghiền ở đâu,tim_mon_an
Cơm tấm sườn nướng ngon,tim_mon_an
Cơm tấm trứng ốp la,tim_mon_an
Quán cơm tấm ngon Sài Gòn,tim_mon_an
Cơm tấm bì chả Sài Gòn,tim_mon_an
Cơm tấm Kiều Giang,tim_mon_an
Cơm tấm Sài Gòn đặc sản,tim_mon_an
Hủ tiếu Nam Vang ở đâu,tim_mon_an
Hủ tiếu khô Sài Gòn,tim_mon_an
Hủ tiếu Mỹ Tho ngon,tim_mon_an
Hủ tiếu Sa Đéc quán nào,tim_mon_an
Hủ tiếu gõ Sài Gòn,tim_mon_an
Hủ tiếu bò viên ngon,tim_mon_an
Quán hủ tiếu ngon Sài Gòn,tim_mon_an
Hủ tiếu Thanh Xuân ở đâu,tim_mon_an
Hủ tiếu Lệ quán nào,tim_mon_an
Hủ tiếu tôm cua Sài Gòn,tim_mon_an
Bún thịt nướng Sài Gòn,tim_mon_an
Bún mắm Sài Gòn ngon,tim_mon_an
Bún riêu cua Sài Gòn,tim_mon_an
Bún bò Huế Sài Gòn,tim_mon_an
Bún chả Hà Nội ở Sài Gòn,tim_mon_an
Bún đậu mắm tôm Sài Gòn,tim_mon_an
Bún mọc Sài Gòn quán nào,tim_mon_an
Bún ốc Sài Gòn ngon,tim_mon_an
Bún cá Sài Gòn ở đâu,tim_mon_an
Bún măng vịt Sài Gòn,tim_mon_an
Phở bò Sài Gòn ngon,tim_mon_an
Phở gà Sài Gòn quán nào,tim_mon_an
