id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
VL_00001,Ong Cham,Ẩm thực,quán cà phê,10.1010417,105.7554394,"Tân Quới, Bình Tân, Vĩnh Long",Bình Tân,Vĩnh Long,"Ong Cham là quán cà phê tại Bình Tân, Vĩnh Long.",Ong Cham Ẩm thực quán cà phê Bình Tân Vĩnh Long
VL_00002,Khách sạn Bưu điện,Du lịch,khách sạn,9.6257817,106.5623094,"Trường Long Hòa, Thị Xã Duyên Hải, Trà Vinh",Thị Xã Duyên Hải,Vĩnh Long,"Khách sạn Bưu điện là khách sạn tại Thị Xã Duyên Hải, Vĩnh Long.",Khách sạn Bưu điện Du lịch khách sạn Thị Xã Duyên Hải Vĩnh Long
VL_00003,Khách sạn Rừng Dương,Du lịch,khách sạn,9.6224263,106.5603504,"Trường Long Hòa, Thị Xã Duyên Hải, Trà Vinh",Thị Xã Duyên Hải,Vĩnh Long,"Khách sạn Rừng Dương là khách sạn tại Thị Xã Duyên Hải, Vĩnh Long.",Khách sạn Rừng Dương Du lịch khách sạn Thị Xã Duyên Hải Vĩnh Long
VL_00004,Chợ Tiên Thủy,Du lịch,chợ truyền thống,10.2627112,106.2394162,"Đường Tỉnh Lộ 884, Tiên Thủy, Châu Thành, Bến Tre, 86225",Châu Thành,Vĩnh Long,"Chợ Tiên Thủy là chợ truyền thống tại Châu Thành, Vĩnh Long.",Chợ Tiên Thủy Du lịch chợ truyền thống Châu Thành Vĩnh Long
VL_00005,Khách sạn Vinh Sang,Du lịch,khách sạn,10.2710172,105.9541949,"An Bình, Long Hồ, Vĩnh Long",Long Hồ,Vĩnh Long,"Khách sạn Vinh Sang là khách sạn tại Long Hồ, Vĩnh Long.",Khách sạn Vinh Sang Du lịch khách sạn Long Hồ Vĩnh Long
VL_00006,Chợ Tân Lược,Du lịch,chợ truyền thống,10.1410978,105.7167036,"Quốc Lộ 54, Tân Lược, Bình Tân, Vĩnh Long, 85414",Bình Tân,Vĩnh Long,"Chợ Tân Lược là chợ truyền thống tại Bình Tân, Vĩnh Long.",Chợ Tân Lược Du lịch chợ truyền thống Bình Tân Vĩnh Long
VL_00007,Huong Sen,Ẩm thực,nhà hàng,10.2370722,105.984118,"Đường Phạm Thái Bường, Phường 4, Vĩnh Long, 85108",Vĩnh Long,Vĩnh Long,"Huong Sen là nhà hàng tại Vĩnh Long, Vĩnh Long.",Huong Sen Ẩm thực nhà hàng Vĩnh Long Vĩnh Long
VL_00008,Cà phê Tiến Thương,Ẩm thực,quán cà phê,10.079128,105.852583,"Quốc Lộ 1, Thuận An, Bình Minh, Vĩnh Long, 85508",Bình Minh,Vĩnh Long,"Cà phê Tiến Thương là quán cà phê tại Bình Minh, Vĩnh Long.",Cà phê Tiến Thương Ẩm thực quán cà phê Bình Minh Vĩnh Long
VL_00009,Mini Mart,Ẩm thực,quán cà phê,9.9433714,106.0731197,"Tỉnh Lộ 906, Thông Hòa, Cầu Kè, Trà Vinh, 87309",Cầu Kè,Vĩnh Long,"Mini Mart là quán cà phê tại Cầu Kè, Vĩnh Long.",Mini Mart Ẩm thực quán cà phê Cầu Kè Vĩnh Long
VL_00010,Sea Food Restaurant,Ẩm thực,nhà hàng,10.2565634,106.3660026,"Tiệm Huy Hoàng, 65A2 Đường Đại Lộ Đồng Khởi, Phú Tân, Bến Tre, 86112",Bến Tre,Vĩnh Long,"Sea Food Restaurant là nhà hàng tại Bến Tre, Vĩnh Long.",Sea Food Restaurant Ẩm thực nhà hàng Bến Tre Vĩnh Long
