text,intent,region
# Giao tiếp chung - Chào hỏi
Chào bạn,giao_tiep_bot,general
Xin chào,giao_tiep_bot,general
Xin chào bạn,giao_tiep_bot,general
Hello,giao_tiep_bot,general
Hi bot,giao_tiep_bot,general
Bạn khỏe không,giao_tiep_bot,general

# Giao tiếp chung - Hỏi về bot
Bạn là ai,giao_tiep_bot,general
Bạn tên gì,giao_tiep_bot,general
Bạn tên là gì,giao_tiep_bot,general
Bạn có thể giúp gì,giao_tiep_bot,general
Bạn làm được gì,giao_tiep_bot,general
Bạn có thể tư vấn không,giao_tiep_bot,general
Bạn biết không,giao_tiep_bot,general

# Giao tiếp chung - Cảm ơn
Cảm ơn bạn,giao_tiep_bot,general
Cảm ơn bạn nhiều nhé,giao_tiep_bot,general
Cảm ơn bạn rất nhiều,giao_tiep_bot,general
Thanks,giao_tiep_bot,general

# Giao tiếp chung - Tạm biệt
Tạm biệt,giao_tiep_bot,general
Tạm biệt nhé bot,giao_tiep_bot,general
Bye,giao_tiep_bot,general
Hẹn gặp lại,giao_tiep_bot,general
Hẹn gặp lại bạn,giao_tiep_bot,general

# Giao tiếp chung - Khen ngợi
Bạn giỏi quá,giao_tiep_bot,general
Bạn giỏi thật đấy,giao_tiep_bot,general
Tuyệt vời,giao_tiep_bot,general
Hay quá,giao_tiep_bot,general

# Giao tiếp chung - Không hiểu
Không hiểu,giao_tiep_bot,general
Bạn nói gì,giao_tiep_bot,general
Giải thích lại đi,giao_tiep_bot,general
Bạn có thể nói rõ hơn không,giao_tiep_bot,general
Tôi không rõ,giao_tiep_bot,general

# Giao tiếp chung - Yêu cầu hỗ trợ
Giúp tôi với,giao_tiep_bot,general
Tôi cần hỗ trợ,giao_tiep_bot,general
Hướng dẫn tôi đi,giao_tiep_bot,general
Tôi muốn hỏi,giao_tiep_bot,general
Cho tôi biết,giao_tiep_bot,general
Có thông tin gì không,giao_tiep_bot,general

# Câu hỏi chung về món ăn
Gợi ý món ăn đặc sản miền Bắc,tim_mon_an,general
Tìm quán cà phê view đẹp,tim_mon_an,general
Món ăn vặt có gì,tim_mon_an,general
Tìm cho tôi quán ăn ngon,tim_mon_an,general
Bạn có thể giúp tôi tìm món ăn không,tim_mon_an,general
Giúp tôi tìm quán ăn,tim_mon_an,general

# Câu hỏi chung về địa điểm
Gợi ý địa điểm du lịch,tim_dia_diem,general
Nên đi du lịch ở đâu,tim_dia_diem,general
Địa điểm nào đẹp,tim_dia_diem,general
