id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
HP_00001,Demo Coffee,Ẩm thực,quán cà phê,20.8613035,106.6836558,"Công Ty Song Hỹ - Bảo Khang Túc, 18A Phố Lê Đại Hành, Minh Khai, Hồng Bàng, Hải Phòng",Hải Phòng,Demo Coffee là quán cà phê tại Hải Phòng.,Demo Coffee Ẩm thực quán cà phê Hải Phòng Hải Phòng
HP_00002,Bach Dang Hotel,Du lịch,khách sạn,20.8618088,106.6862823,"Café 26C, 26C Phố Lý Tự Trọng, Minh Khai, Hồng Bàng, Hải Phòng, 04107",Hải Phòng,Bach Dang Hotel là khách sạn tại Hải Phòng.,Bach Dang Hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00003,Ẩm thực sinh thái Sơn Hải,Ẩm thực,nhà hàng,20.949949,106.36166,"Quốc Lộ 5, Nam Đồng, Hải Dương, 03121",Hải Dương,Ẩm thực sinh thái Sơn Hải là nhà hàng tại Hải Dương.,Ẩm thực sinh thái Sơn Hải Ẩm thực nhà hàng Hải Dương Hải Phòng
HP_00004,Khu sinh thái Thuỷ Tiên,Ẩm thực,nhà hàng,20.9915285,106.3465813,"Đường Hùng Vương, Nam Sách, Hải Dương, 03556",Nam Sách,Khu sinh thái Thuỷ Tiên là nhà hàng tại Nam Sách.,Khu sinh thái Thuỷ Tiên Ẩm thực nhà hàng Nam Sách Hải Phòng
HP_00005,Quảng trường Sao Đỏ,Du lịch,bảo tàng,21.1081534,106.3878641,"Đường Trần Hưng Đạo, Sao Đỏ, Chí Linh, Hải Dương, 03506",Chí Linh,Quảng trường Sao Đỏ là bảo tàng tại Chí Linh.,Quảng trường Sao Đỏ Du lịch bảo tàng Chí Linh Hải Phòng
HP_00006,Phương Linh,Du lịch,khách sạn,20.7247477,107.0519917,"Khách Sạn Thùy Linh, 202 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Phương Linh là khách sạn tại Hải Phòng.,Phương Linh Du lịch khách sạn Hải Phòng Hải Phòng
HP_00007,Princes Hotel,Du lịch,khách sạn,20.7242639,107.0507878,"Cát Bà Harbour Inn, 309 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Princes Hotel là khách sạn tại Hải Phòng.,Princes Hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00008,Nhị Anh,Du lịch,khách sạn,20.724812,107.0525497,"Dịch Vụ Hương Biển, 184 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Nhị Anh là khách sạn tại Hải Phòng.,Nhị Anh Du lịch khách sạn Hải Phòng Hải Phòng
HP_00009,Quang Minh,Du lịch,khách sạn,20.7242388,107.0506926,"Cát Bà Harbour Inn, 309 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Quang Minh là khách sạn tại Hải Phòng.,Quang Minh Du lịch khách sạn Hải Phòng Hải Phòng
HP_00010,Hùng Anh,Du lịch,khách sạn,20.7251373,107.0532764,"Cát Bà Guest House, 140 Phố Núi Ngọc, Cát Hải, Hải Phòng, 05406",Hải Phòng,Hùng Anh là khách sạn tại Hải Phòng.,Hùng Anh Du lịch khách sạn Hải Phòng Hải Phòng
HP_00011,Sunflower Two,Du lịch,khách sạn,20.7260102,107.0532507,"Sun Flower Two Hotel, 118 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Sunflower Two là khách sạn tại Hải Phòng.,Sunflower Two Du lịch khách sạn Hải Phòng Hải Phòng
HP_00012,Nam Phương 1,Du lịch,khách sạn,20.7249982,107.0497553,"Bưu Cục Cảng Cá, Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Nam Phương 1 là khách sạn tại Hải Phòng.,Nam Phương 1 Du lịch khách sạn Hải Phòng Hải Phòng
HP_00013,Lan Ha,Du lịch,khách sạn,20.7254176,107.0498782,"Khách Sạn Bảo Nguyên, 13 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Lan Ha là khách sạn tại Hải Phòng.,Lan Ha Du lịch khách sạn Hải Phòng Hải Phòng
HP_00014,Cat Ba Dream,Du lịch,khách sạn,20.7241244,107.050041,"Phố Núi Ngọc, Cát Hải, Hải Phòng, 05406",Hải Phòng,Cat Ba Dream là khách sạn tại Hải Phòng.,Cat Ba Dream Du lịch khách sạn Hải Phòng Hải Phòng
HP_00015,Sunflower One,Du lịch,khách sạn,20.7243638,107.0504589,"Photo Minilab Đức Hợp, 222 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Sunflower One là khách sạn tại Hải Phòng.,Sunflower One Du lịch khách sạn Hải Phòng Hải Phòng
HP_00016,Thang Long Hotel,Du lịch,khách sạn,20.7241526,107.050033,"Hiệu Ảnh Đức Hợp, 222 Phố Núi Ngọc, Cát Hải, Hải Phòng, 05406",Hải Phòng,Thang Long Hotel là khách sạn tại Hải Phòng.,Thang Long Hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00017,Tuan Ha,Du lịch,khách sạn,20.7251708,107.0497593,"Nhà Nghỉ Kim Tiến, 17 Phố Núi Ngọc, Cát Hải, Hải Phòng, 05406",Hải Phòng,Tuan Ha là khách sạn tại Hải Phòng.,Tuan Ha Du lịch khách sạn Hải Phòng Hải Phòng
HP_00018,Sông Chanh II,Du lịch,khách sạn,20.7258653,107.0508626,"Khách Sạn Thành Công, 39 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Sông Chanh II là khách sạn tại Hải Phòng.,Sông Chanh II Du lịch khách sạn Hải Phòng Hải Phòng
HP_00019,Dung Hà,Du lịch,khách sạn,20.7252071,107.0498104,"Nhà Nghỉ Kim Tiến, 17 Phố Núi Ngọc, Cát Hải, Hải Phòng, 05406",Hải Phòng,Dung Hà là khách sạn tại Hải Phòng.,Dung Hà Du lịch khách sạn Hải Phòng Hải Phòng
HP_00020,Yen Thanh,Du lịch,khách sạn,20.724949,107.0494944,"Cat Ba Sea View Hotel, Cát Hải, Hải Phòng",Hải Phòng,Yen Thanh là khách sạn tại Hải Phòng.,Yen Thanh Du lịch khách sạn Hải Phòng Hải Phòng
HP_00021,Đảo Xanh,Du lịch,khách sạn,20.7322923,107.058729,"Khách Sạn Đảo Xanh, Đường Cái Bèo, Cát Bà, Cát Hải, Hải Phòng",Hải Phòng,Đảo Xanh là khách sạn tại Hải Phòng.,Đảo Xanh Du lịch khách sạn Hải Phòng Hải Phòng
HP_00022,Phong an lang,Ẩm thực,nhà hàng,20.7254227,107.0502446,"Hoàng Gia Minh Hotel, 18 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Phong an lang là nhà hàng tại Hải Phòng.,Phong an lang Ẩm thực nhà hàng Hải Phòng Hải Phòng
HP_00023,Ha Vy,Ẩm thực,nhà hàng,20.7241706,107.0500133,"Hiệu Ảnh Đức Hợp, 222 Phố Núi Ngọc, Cát Hải, Hải Phòng, 05406",Hải Phòng,Ha Vy là nhà hàng tại Hải Phòng.,Ha Vy Ẩm thực nhà hàng Hải Phòng Hải Phòng
HP_00024,Trường Giang,Du lịch,khách sạn,20.7242749,107.0508444,"Khách Sạn Sunflower One, 218 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Trường Giang là khách sạn tại Hải Phòng.,Trường Giang Du lịch khách sạn Hải Phòng Hải Phòng
HP_00025,Huy Hoàng,Du lịch,khách sạn,20.7242515,107.050736,"Cát Bà Harbour Inn, 309 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Huy Hoàng là khách sạn tại Hải Phòng.,Huy Hoàng Du lịch khách sạn Hải Phòng Hải Phòng
HP_00026,Sun & Sea Hotel,Du lịch,khách sạn,20.725563,107.0504728,"Khách Sạn Hồng Quảng, 27 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Sun & Sea Hotel là khách sạn tại Hải Phòng.,Sun & Sea Hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00027,vien duong hotel,Du lịch,khách sạn,20.7252271,107.0500357,"Nhà Hàng Lương Sơn Quán, 4 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,vien duong hotel là khách sạn tại Hải Phòng.,vien duong hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00028,Draco QK3 Hotel,Du lịch,khách sạn,20.7216172,107.0513378,"Ngân Hàng Tmcp Sài Gòn Công Thương, Cát Hải, Hải Phòng, 05406",Hải Phòng,Draco QK3 Hotel là khách sạn tại Hải Phòng.,Draco QK3 Hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00029,Nam Duong Hotel,Du lịch,khách sạn,20.7232921,107.0504665,"Hai Long Restaurant, 234 Phố Núi Ngọc, Cát Hải, Hải Phòng",Hải Phòng,Nam Duong Hotel là khách sạn tại Hải Phòng.,Nam Duong Hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00030,Green Mango,Ẩm thực,nhà hàng,20.7234309,107.0503963,"Phú Thành Sea View Hotel, Cát Hải, Hải Phòng, 05406",Hải Phòng,Green Mango là nhà hàng tại Hải Phòng.,Green Mango Ẩm thực nhà hàng Hải Phòng Hải Phòng
HP_00031,Hoàng Hiếu Hotel,Du lịch,khách sạn,20.7253972,107.0498601,"Nhà Nghỉ Kim Tiến, 17 Phố Núi Ngọc, Cát Hải, Hải Phòng, 05406",Hải Phòng,Hoàng Hiếu Hotel là khách sạn tại Hải Phòng.,Hoàng Hiếu Hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00032,The Whisper of Nature,Du lịch,khách sạn,20.8039954,107.0405871,"Việt Hải, Cát Hải, Hải Phòng",Hải Phòng,The Whisper of Nature là khách sạn tại Hải Phòng.,The Whisper of Nature Du lịch khách sạn Hải Phòng Hải Phòng
HP_00033,The Noble House,Ẩm thực,quán bar,20.724682,107.0496053,"Coffee Take Away, Đường Một Tháng Tư, Cát Hải, Hải Phòng, 05406",Hải Phòng,The Noble House là quán bar tại Hải Phòng.,The Noble House Ẩm thực quán bar Hải Phòng Hải Phòng
HP_00034,Monkey Island Resort,Du lịch,khách sạn,20.7293037,107.078449,Gulf of Tonkin,,Monkey Island Resort là khách sạn tại Hải Phòng.,Monkey Island Resort Du lịch khách sạn  Hải Phòng
HP_00035,Celsius Karaoke & Shisha,Ẩm thực,quán cà phê,20.8601753,106.6913652,"13 Phố Lương Khánh Thiện, Lương Khánh Thiện, Ngô Quyền, Hải Phòng, 04207",Hải Phòng,Celsius Karaoke & Shisha là quán cà phê tại Hải Phòng.,Celsius Karaoke & Shisha Ẩm thực quán cà phê Hải Phòng Hải Phòng
HP_00036,Lotteria,Ẩm thực,quán thức ăn nhanh,20.8458871,106.7074218,"Đường Lê Hồng Phong, Đằng Giang, Ngô Quyền, Hải Phòng, 04212",Hải Phòng,Lotteria là quán thức ăn nhanh tại Hải Phòng.,Lotteria Ẩm thực quán thức ăn nhanh Hải Phòng Hải Phòng
HP_00037,Hoàng Hải Hotel,Du lịch,khách sạn,20.8542692,106.6836151,"ATM - BIDV, Cầu Đất, Ngô Quyền, Hải Phòng",Hải Phòng,Hoàng Hải Hotel là khách sạn tại Hải Phòng.,Hoàng Hải Hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00038,Duyen Hai Hotel,Du lịch,khách sạn,20.8632774,106.6808243,"Trường Mầm Non, Phố Nguyễn Tri Phương, Minh Khai, Hồng Bàng, Hải Phòng, 04107",Hải Phòng,Duyen Hai Hotel là khách sạn tại Hải Phòng.,Duyen Hai Hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00039,Huu Nghi Hotel,Du lịch,khách sạn,20.8617773,106.6843035,"Vinh Hoa - Chinese Restaurant, 60 Phố Điện Biên Phủ, Minh Khai, Hồng Bàng, Hải Phòng",Hải Phòng,Huu Nghi Hotel là khách sạn tại Hải Phòng.,Huu Nghi Hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00040,Bảo Anh Hotel,Du lịch,khách sạn,20.8607974,106.6850541,"Café 22C, 22C Phố Minh Khai, Hồng Bàng, Hải Phòng, 04106",Hải Phòng,Bảo Anh Hotel là khách sạn tại Hải Phòng.,Bảo Anh Hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00041,Hoàng Long Hotel,Du lịch,khách sạn,20.8597888,106.6816893,"Trung Tâm Thương Mại Hoàng Văn Thụ, 33 Phố Hoàng Văn Thụ, Hồng Bàng, Hải Phòng, 04106",Hải Phòng,Hoàng Long Hotel là khách sạn tại Hải Phòng.,Hoàng Long Hotel Du lịch khách sạn Hải Phòng Hải Phòng
HP_00042,Kim Thành Hotel,Du lịch,khách sạn,20.8615146,106.6839369,"ATM - Ngân Hàng Xuất Nhập Khẩu Việt Nam - Eximbank, Minh Khai, Hồng Bàng, Hải Phòng",Hải Phòng,Kim Thành Hotel là khách sạn tại Hải Phòng.,Kim Thành Hotel Du lịch khách sạn Hải Phòng Hải Phòng
