id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
PT_00001,thác Thăng thiên,Du lịch,địa điểm du lịch,20.917808,105.440221,"QL 6, Mông Hóa, Hòa Bình, 36209",Hòa Bình,thác Thăng thiên là địa điểm du lịch tại Hòa Bình.,thác Thăng thiên Du lịch địa điểm du lịch Hòa Bình Phú Thọ
PT_00002,Nhà nghỉ - Quán ăn,Du lịch,nhà nghỉ,20.719317,104.996297,"Quốc Lộ 6, Đồng Bảng, Mai Châu, Hòa Bình, 36413",Mai Châu,Nhà nghỉ - Quán ăn là nhà nghỉ tại Mai Châu.,Nhà nghỉ - Quán ăn Du lịch nhà nghỉ Mai Châu Phú Thọ
PT_00003,Khu du lịch Làng Văn hoá,Du lịch,địa điểm du lịch,20.870304,105.516019,"Quốc Lộ 6, Lương Sơn, Hòa Bình, 36256",Lương Sơn,Khu du lịch Làng Văn hoá là địa điểm du lịch tại Lương Sơn.,Khu du lịch Làng Văn hoá Du lịch địa điểm du lịch Lương Sơn Phú Thọ
PT_00004,chợ Lo,Du lịch,chợ truyền thống,20.622683,105.231634,"Quốc Lộ 6, Phong Phú, Tân Lạc, Hòa Bình, 36563",Tân Lạc,chợ Lo là chợ truyền thống tại Tân Lạc.,chợ Lo Du lịch chợ truyền thống Tân Lạc Phú Thọ
PT_00005,UBND xã Tiền Châu,Du lịch,bảo tàng,21.2409433,105.6944382,"Tiền Châu, Phúc Yên, Vĩnh Phúc",Phúc Yên,UBND xã Tiền Châu là bảo tàng tại Phúc Yên.,UBND xã Tiền Châu Du lịch bảo tàng Phúc Yên Phú Thọ
PT_00006,Cafe V2,Ẩm thực,quán cà phê,21.2377422,105.7055983,"Cửa Hàng Tranh Đá Quý Minh Ngọc, Ngõ 2 Trưng Trắc, Trưng Trắc, Phúc Yên, Vĩnh Phúc, 15906",Phúc Yên,Cafe V2 là quán cà phê tại Phúc Yên.,Cafe V2 Ẩm thực quán cà phê Phúc Yên Phú Thọ
PT_00007,Valley View Hotel,Du lịch,khách sạn,20.6550356,105.0792058,"Nhà Nghỉ Valley View, Quốc Lộ 15, Mai Châu, Hòa Bình, 36406",Mai Châu,Valley View Hotel là khách sạn tại Mai Châu.,Valley View Hotel Du lịch khách sạn Mai Châu Phú Thọ
PT_00008,Homestay 01 SoNha28,Du lịch,nhà khách/homestay,20.6541912,105.0740044,"Mai Châu, Hòa Bình",Mai Châu,Homestay 01 SoNha28 là nhà khách/homestay tại Mai Châu.,Homestay 01 SoNha28 Du lịch nhà khách/homestay Mai Châu Phú Thọ
PT_00009,Thai Museum,Du lịch,bảo tàng,20.649003,105.0767907,"Quốc Lộ 15, Chiềng Châu, Mai Châu, Hòa Bình, 36424",Mai Châu,Thai Museum là bảo tàng tại Mai Châu.,Thai Museum Du lịch bảo tàng Mai Châu Phú Thọ
PT_00010,Hoa Binh Nha Nghi,Du lịch,nhà khách/homestay,20.8167075,105.3341673,"Nhà Khách Hòa Bình, Phương Lâm, Hòa Bình, 36106",Hòa Bình,Hoa Binh Nha Nghi là nhà khách/homestay tại Hòa Bình.,Hoa Binh Nha Nghi Du lịch nhà khách/homestay Hòa Bình Phú Thọ
PT_00011,Binh Minh Nga Nghi,Du lịch,nhà khách/homestay,20.8166753,105.3355192,"Đường Cù Chính Lan, Phương Lâm, Hòa Bình, 36106",Hòa Bình,Binh Minh Nga Nghi là nhà khách/homestay tại Hòa Bình.,Binh Minh Nga Nghi Du lịch nhà khách/homestay Hòa Bình Phú Thọ
PT_00012,Nga Nghi sign,Du lịch,nhà khách/homestay,20.6240866,105.2774002,"Sửa Chữa Xe Máy Tân Hòa, Đường Quốc Lộ 6, Mãn Đức, Tân Lạc, Hòa Bình, 36556",Tân Lạc,Nga Nghi sign là nhà khách/homestay tại Tân Lạc.,Nga Nghi sign Du lịch nhà khách/homestay Tân Lạc Phú Thọ
PT_00013,Hoa Binh Hotel,Du lịch,khách sạn,20.805279,105.334125,"Đường An Dương Vương, Phương Lâm, Hòa Bình, 36106",Hòa Bình,Hoa Binh Hotel là khách sạn tại Hòa Bình.,Hoa Binh Hotel Du lịch khách sạn Hòa Bình Phú Thọ
PT_00014,Restaurant,Ẩm thực,nhà hàng,20.6241372,105.2772471,"Nhà Nghỉ Sơn Phương, Đường Quốc Lộ 6, Mãn Đức, Tân Lạc, Hòa Bình, 36557",Tân Lạc,Restaurant là nhà hàng tại Tân Lạc.,Restaurant Ẩm thực nhà hàng Tân Lạc Phú Thọ
PT_00015,Khoa Thanh,Du lịch,khách sạn,20.6515855,105.0770748,"Đại Lý Chăn Ga Gối Đệm Ngọc Tú, Quốc Lộ 15, Chiềng Châu, Mai Châu, Hòa Bình, 36424",Mai Châu,Khoa Thanh là khách sạn tại Mai Châu.,Khoa Thanh Du lịch khách sạn Mai Châu Phú Thọ
PT_00016,Bãi Bằng Hotel,Du lịch,khách sạn,21.409499,105.3159997,"Phong Châu, Phù Ninh, Phú Thọ",Phù Ninh,Bãi Bằng Hotel là khách sạn tại Phù Ninh.,Bãi Bằng Hotel Du lịch khách sạn Phù Ninh Phú Thọ
PT_00017,Coffee Like,Ẩm thực,quán cà phê,21.3109127,105.6007931,"Cafe Like, Đường Nguyễn Chí Thanh, Vĩnh Phúc, Đống Đa, Vĩnh Yên, Vĩnh Phúc, 15107",Vĩnh Yên,Coffee Like là quán cà phê tại Vĩnh Yên.,Coffee Like Ẩm thực quán cà phê Vĩnh Yên Phú Thọ
PT_00018,Quán Sông Hàn,Ẩm thực,nhà hàng,21.3116462,105.399021,"Điện Tử Điện Lạnh Nhu Túc, 1456 Đường Hùng Vương, Tiên Cát, Việt Trì, Phú Thọ, 35126",Việt Trì,Quán Sông Hàn là nhà hàng tại Việt Trì.,Quán Sông Hàn Ẩm thực nhà hàng Việt Trì Phú Thọ
PT_00019,Tam Dao Belvedere Resort,Du lịch,khách sạn,21.450992,105.638931,"Tam Đảo, Vĩnh Phúc",Tam Đảo,Tam Dao Belvedere Resort là khách sạn tại Tam Đảo.,Tam Dao Belvedere Resort Du lịch khách sạn Tam Đảo Phú Thọ
PT_00020,tea leaf forests,Du lịch,địa điểm du lịch,21.6480265,105.0909973,"Quế Lâm, Đoan Hùng, Phú Thọ",Đoan Hùng,tea leaf forests là địa điểm du lịch tại Đoan Hùng.,tea leaf forests Du lịch địa điểm du lịch Đoan Hùng Phú Thọ
PT_00021,Hotel,Du lịch,khách sạn,21.6261312,105.1841426,"547 Quốc Lộ 2, Đoan Hùng, Phú Thọ, 35306",Đoan Hùng,Hotel là khách sạn tại Đoan Hùng.,Hotel Du lịch khách sạn Đoan Hùng Phú Thọ
PT_00022,Biên Thùy homestay,Ẩm thực,nhà hàng,20.6512401,105.0717458,"Chiềng Châu, Mai Châu, Hòa Bình",Mai Châu,Biên Thùy homestay là nhà hàng tại Mai Châu.,Biên Thùy homestay Ẩm thực nhà hàng Mai Châu Phú Thọ
PT_00023,Nha nghi,Du lịch,khách sạn,21.235126,105.2035574,"QL 32, Sơn Hùng, Thanh Sơn, Phú Thọ, 35807",Thanh Sơn,Nha nghi là khách sạn tại Thanh Sơn.,Nha nghi Du lịch khách sạn Thanh Sơn Phú Thọ
PT_00024,Flamingo Đại Lải Resort,Du lịch,khách sạn,21.3317225,105.7130123,"Ngọc Thanh, Phúc Yên, Vĩnh Phúc",Phúc Yên,Flamingo Đại Lải Resort là khách sạn tại Phúc Yên.,Flamingo Đại Lải Resort Du lịch khách sạn Phúc Yên Phú Thọ
PT_00025,Flamingo Đại Lải Resort,Du lịch,khách sạn,21.3389857,105.7191208,"Flamingo Đại Lải Resort, Ngọc Thanh, Phúc Yên, Vĩnh Phúc, 15912",Phúc Yên,Flamingo Đại Lải Resort là khách sạn tại Phúc Yên.,Flamingo Đại Lải Resort Du lịch khách sạn Phúc Yên Phú Thọ
