id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
QT_00001,Sun Spa Resort,Du lịch,khách sạn,17.4797466,106.6336809,"Sun Spa Resort, Bảo Ninh, Đồng Hới, Quảng Bình",Đồng Hới,Sun Spa Resort là khách sạn tại Đồng Hới.,Sun Spa Resort Du lịch khách sạn Đồng Hới Quảng Trị
QT_00002,Long Bình,Du lịch,khách sạn,17.4795073,106.6203416,"Khách Sạn Long Bình, 105A Đường Lý Thường Kiệt, Đồng Mỹ, Hải Đình, Đồng Hới, Quảng Bình",Đồng Hới,Long Bình là khách sạn tại Đồng Hới.,Long Bình Du lịch khách sạn Đồng Hới Quảng Trị
QT_00003,Phong Nha I Hotel,Du lịch,khách sạn,17.6098671,106.3106715,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Phong Nha I Hotel là khách sạn tại Bố Trạch.,Phong Nha I Hotel Du lịch khách sạn Bố Trạch Quảng Trị
QT_00004,Thành Đạt,Du lịch,nhà khách/homestay,17.6100598,106.3118758,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Thành Đạt là nhà khách/homestay tại Bố Trạch.,Thành Đạt Du lịch nhà khách/homestay Bố Trạch Quảng Trị
QT_00005,Phương Nam,Du lịch,khách sạn,17.6112128,106.3077328,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Phương Nam là khách sạn tại Bố Trạch.,Phương Nam Du lịch khách sạn Bố Trạch Quảng Trị
QT_00006,QB,Ẩm thực,quán cà phê,17.4633913,106.6236013,"Restaurant & Cafe QB, 3 Đường Lê Lợi, Quảng Bình, Hải Đình, Đồng Hới, Quảng Bình",Đồng Hới,QB là quán cà phê tại Đồng Hới.,QB Ẩm thực quán cà phê Đồng Hới Quảng Trị
QT_00007,Ke Bang Hotel,Du lịch,khách sạn,17.476314,106.6233466,"Đường Nguyễn Du, Đồng Mỹ, Hải Đình, Đồng Hới, Quảng Bình, 47118",Đồng Hới,Ke Bang Hotel là khách sạn tại Đồng Hới.,Ke Bang Hotel Du lịch khách sạn Đồng Hới Quảng Trị
QT_00008,Năm Long Hotel,Du lịch,khách sạn,17.4763754,106.623191,"Khách Sạn Năm Long, 22 Đường Nguyễn Du, Đồng Mỹ, Hải Đình, Đồng Hới, Quảng Bình",Đồng Hới,Năm Long Hotel là khách sạn tại Đồng Hới.,Năm Long Hotel Du lịch khách sạn Đồng Hới Quảng Trị
QT_00009,Lương Thực,Du lịch,khách sạn,17.4734809,106.6218053,"Đường Cao Bá Quát, Đồng Mỹ, Hải Đình, Đồng Hới, Quảng Bình, 47118",Đồng Hới,Lương Thực là khách sạn tại Đồng Hới.,Lương Thực Du lịch khách sạn Đồng Hới Quảng Trị
QT_00010,Vịnh Mốc Tunnels Museum,Du lịch,bảo tàng,17.07467,107.1127984,"Tỉnh Lộ 573, Vĩnh Thạch, Vĩnh Linh, Quảng Trị, 48417",Vĩnh Linh,Vịnh Mốc Tunnels Museum là bảo tàng tại Vĩnh Linh.,Vịnh Mốc Tunnels Museum Du lịch bảo tàng Vĩnh Linh Quảng Trị
QT_00011,Thành Phát,Du lịch,khách sạn,17.018538,107.1112696,"Đường Tỉnh Lộ 574, Cửa Tùng, Vĩnh Linh, Quảng Trị, 48419",Vĩnh Linh,Thành Phát là khách sạn tại Vĩnh Linh.,Thành Phát Du lịch khách sạn Vĩnh Linh Quảng Trị
QT_00012,Cột cờ Cầu Hiền Lương,Du lịch,địa điểm du lịch,17.0056523,107.0502157,"Đường Quốc Lộ 1, Vĩnh Thành, Vĩnh Linh, Quảng Trị, 48421",Vĩnh Linh,Cột cờ Cầu Hiền Lương là địa điểm du lịch tại Vĩnh Linh.,Cột cờ Cầu Hiền Lương Du lịch địa điểm du lịch Vĩnh Linh Quảng Trị
QT_00013,Bảo tàng lịch sử Cầu Hiền Lương,Du lịch,bảo tàng,17.0060282,107.0513663,"Đường Quốc Lộ 1, Vĩnh Thành, Vĩnh Linh, Quảng Trị, 48421",Vĩnh Linh,Bảo tàng lịch sử Cầu Hiền Lương là bảo tàng tại Vĩnh Linh.,Bảo tàng lịch sử Cầu Hiền Lương Du lịch bảo tàng Vĩnh Linh Quảng Trị
QT_00014,Thành Đô,Du lịch,khách sạn,16.7396283,107.1871171,"Khách Sạn Thành Đô - Cơ Sở 3, 32 Đường Lê Duẩn, Phường 1, Quảng Trị",Quảng Trị,Thành Đô là khách sạn tại Quảng Trị.,Thành Đô Du lịch khách sạn Quảng Trị Quảng Trị
QT_00015,Lan Anh,Du lịch,khách sạn,16.817007,107.108888,"Công Ty TNHH Nhà Nước Một Thành Viên-Bưu Chính Viettel-Bưu Cục Quảng Trị, 245 Đường Lê Duẩn, Đông Lễ, Đông Hà, Quảng Trị, 48113",Đông Hà,Lan Anh là khách sạn tại Đông Hà.,Lan Anh Du lịch khách sạn Đông Hà Quảng Trị
QT_00016,Chợ Đông Hà,Du lịch,chợ truyền thống,16.8239186,107.0992767,"6 Đường Phan Chu Trinh, Phường 1, Đông Hà, Quảng Trị, 48106",Đông Hà,Chợ Đông Hà là chợ truyền thống tại Đông Hà.,Chợ Đông Hà Du lịch chợ truyền thống Đông Hà Quảng Trị
QT_00017,Phong Nha Farmstay,Du lịch,khách sạn,17.6242297,106.3851832,"Cự Nẫm, Bố Trạch, Quảng Bình",Bố Trạch,Phong Nha Farmstay là khách sạn tại Bố Trạch.,Phong Nha Farmstay Du lịch khách sạn Bố Trạch Quảng Trị
QT_00018,Yến Ngận,Ẩm thực,nhà hàng,17.5153629,106.579447,"Đường Quốc Lộ 1, Lý Trạch, Bố Trạch, Quảng Bình, 47222",Bố Trạch,Yến Ngận là nhà hàng tại Bố Trạch.,Yến Ngận Ẩm thực nhà hàng Bố Trạch Quảng Trị
QT_00019,Van Anh,Du lịch,khách sạn,17.6101414,106.3108521,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Van Anh là khách sạn tại Bố Trạch.,Van Anh Du lịch khách sạn Bố Trạch Quảng Trị
QT_00020,Tuan Ngoc Restaurant,Ẩm thực,nhà hàng,17.6101627,106.3106756,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Tuan Ngoc Restaurant là nhà hàng tại Bố Trạch.,Tuan Ngoc Restaurant Ẩm thực nhà hàng Bố Trạch Quảng Trị
QT_00021,Quang Ly,Du lịch,nhà khách/homestay,17.468581,106.5989479,"Đường Thuận Lý, Nam Lý, Đồng Hới, Quảng Bình, 47114",Đồng Hới,Quang Ly là nhà khách/homestay tại Đồng Hới.,Quang Ly Du lịch nhà khách/homestay Đồng Hới Quảng Trị
QT_00022,Mau Hong,Du lịch,nhà khách/homestay,17.4798636,106.6248923,"Nhà Nghỉ Màu Hồng, 17 Đường Trương Pháp, Hải Thành, Đồng Hới, Quảng Bình",Đồng Hới,Mau Hong là nhà khách/homestay tại Đồng Hới.,Mau Hong Du lịch nhà khách/homestay Đồng Hới Quảng Trị
QT_00023,Thao Nguyen Hotel,Du lịch,khách sạn,17.6100906,106.3095597,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Thao Nguyen Hotel là khách sạn tại Bố Trạch.,Thao Nguyen Hotel Du lịch khách sạn Bố Trạch Quảng Trị
QT_00024,Tra Ang Cave (Approximate),Du lịch,địa điểm du lịch,17.4985505,106.2622703,"Tân Trạch, Bố Trạch, Quảng Bình",Bố Trạch,Tra Ang Cave (Approximate) là địa điểm du lịch tại Bố Trạch.,Tra Ang Cave (Approximate) Du lịch địa điểm du lịch Bố Trạch Quảng Trị
QT_00025,Khu Du Lich Dong Phong Nha Ke Bang,Du lịch,địa điểm du lịch,17.5825712,106.2819952,"Sơn Trạch, Bố Trạch, Quảng Bình",Bố Trạch,Khu Du Lich Dong Phong Nha Ke Bang là địa điểm du lịch tại Bố Trạch.,Khu Du Lich Dong Phong Nha Ke Bang Du lịch địa điểm du lịch Bố Trạch Quảng Trị
QT_00026,Sai Gon,Du lịch,khách sạn,17.4672954,106.6253469,"Đường Quách Xuân Kỳ, Quảng Bình, Hải Đình, Đồng Hới, Quảng Bình, 47117",Đồng Hới,Sai Gon là khách sạn tại Đồng Hới.,Sai Gon Du lịch khách sạn Đồng Hới Quảng Trị
QT_00027,Khách sạn Bảo Ngọc,Du lịch,khách sạn,16.6182055,106.6000469,"Đường Quốc Lộ 9, Lao Bảo, Hướng Hóa, Quảng Trị, 48515",Hướng Hóa,Khách sạn Bảo Ngọc là khách sạn tại Hướng Hóa.,Khách sạn Bảo Ngọc Du lịch khách sạn Hướng Hóa Quảng Trị
QT_00028,Phuong Nhi Hotel,Du lịch,khách sạn,16.6164947,106.6021137,"Đường Quốc Lộ 9, Lao Bảo, Hướng Hóa, Quảng Trị, 48515",Hướng Hóa,Phuong Nhi Hotel là khách sạn tại Hướng Hóa.,Phuong Nhi Hotel Du lịch khách sạn Hướng Hóa Quảng Trị
QT_00029,Khách sạn Sepon,Du lịch,khách sạn,16.6186164,106.6001001,"Đường Quốc Lộ 9, Lao Bảo, Hướng Hóa, Quảng Trị, 48515",Hướng Hóa,Khách sạn Sepon là khách sạn tại Hướng Hóa.,Khách sạn Sepon Du lịch khách sạn Hướng Hóa Quảng Trị
QT_00030,Nam Long Plus Hotel,Du lịch,khách sạn,17.4784378,106.6231171,"Công An Tỉnh Quảng Bình - Bệnh Xá, Đường Phan Chu Trinh, Đồng Mỹ, Hải Đình, Đồng Hới, Quảng Bình",Đồng Hới,Nam Long Plus Hotel là khách sạn tại Đồng Hới.,Nam Long Plus Hotel Du lịch khách sạn Đồng Hới Quảng Trị
QT_00031,Ngha Co,Du lịch,nhà khách/homestay,16.8086811,107.1177821,"Đông Lễ, Đông Hà, Quảng Trị",Đông Hà,Ngha Co là nhà khách/homestay tại Đông Hà.,Ngha Co Du lịch nhà khách/homestay Đông Hà Quảng Trị
QT_00032,FARM COFFEE,Ẩm thực,quán cà phê,16.8160023,107.099987,"Siêu Thị Điện Thoại Máy Tính Thăng Bình, Đường Nguyễn Trãi, Phường 1, Đông Hà, Quảng Trị, 48106",Đông Hà,FARM COFFEE là quán cà phê tại Đông Hà.,FARM COFFEE Ẩm thực quán cà phê Đông Hà Quảng Trị
QT_00033,Midtown Hotel,Du lịch,khách sạn,17.6097613,106.3108513,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Midtown Hotel là khách sạn tại Bố Trạch.,Midtown Hotel Du lịch khách sạn Bố Trạch Quảng Trị
QT_00034,botanical garden restaurant,Ẩm thực,nhà hàng,17.5523705,106.3013865,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,botanical garden restaurant là nhà hàng tại Bố Trạch.,botanical garden restaurant Ẩm thực nhà hàng Bố Trạch Quảng Trị
QT_00035,Mountain View Hotel,Du lịch,khách sạn,17.6097308,106.3126145,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Mountain View Hotel là khách sạn tại Bố Trạch.,Mountain View Hotel Du lịch khách sạn Bố Trạch Quảng Trị
QT_00036,Duong Homestay,Du lịch,khách sạn,17.6104343,106.3111712,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Duong Homestay là khách sạn tại Bố Trạch.,Duong Homestay Du lịch khách sạn Bố Trạch Quảng Trị
QT_00037,Melody Hotel,Du lịch,khách sạn,16.8199935,107.1045644,"Nhà Trọ Thanh Sâm, 1 Đường Hải Triều, Phường 1, Đông Hà, Quảng Trị",Đông Hà,Melody Hotel là khách sạn tại Đông Hà.,Melody Hotel Du lịch khách sạn Đông Hà Quảng Trị
QT_00038,Geminai Hotel & Cafe,Du lịch,khách sạn,17.4769335,106.6235371,"46 Đường Nguyễn Du, Đồng Mỹ, Hải Đình, Đồng Hới, Quảng Bình, 47118",Đồng Hới,Geminai Hotel & Cafe là khách sạn tại Đồng Hới.,Geminai Hotel & Cafe Du lịch khách sạn Đồng Hới Quảng Trị
QT_00039,Mountain View Hotel,Du lịch,khách sạn,17.6101218,106.3121457,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Mountain View Hotel là khách sạn tại Bố Trạch.,Mountain View Hotel Du lịch khách sạn Bố Trạch Quảng Trị
QT_00040,Phuong Anh,Du lịch,khách sạn,16.8146868,107.1102832,"214 Đường Lê Duẩn, Đông Lễ, Đông Hà, Quảng Trị, 48113",Đông Hà,Phuong Anh là khách sạn tại Đông Hà.,Phuong Anh Du lịch khách sạn Đông Hà Quảng Trị
QT_00041,Moa binh,Du lịch,khách sạn,17.4759313,106.620846,"Đường Lý Thường Kiệt, Đồng Phú, Đồng Hới, Quảng Bình, 47107",Đồng Hới,Moa binh là khách sạn tại Đồng Hới.,Moa binh Du lịch khách sạn Đồng Hới Quảng Trị
QT_00042,Mountain River Cafe,Ẩm thực,quán cà phê,17.5955698,106.2864077,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Mountain River Cafe là quán cà phê tại Bố Trạch.,Mountain River Cafe Ẩm thực quán cà phê Bố Trạch Quảng Trị
QT_00043,Hữu Nghị Hotel,Du lịch,khách sạn,16.821912,107.0953949,"Chi Cục Lâm Nghiệp Tỉnh Quảng Trị, 63 Đường Trần Hưng Đạo, Phường 1, Đông Hà, Quảng Trị",Đông Hà,Hữu Nghị Hotel là khách sạn tại Đông Hà.,Hữu Nghị Hotel Du lịch khách sạn Đông Hà Quảng Trị
QT_00044,Đúc Tuân,Du lịch,khách sạn,17.216565,106.45028,"Đường Hồ Chí Minh Tây, Trường Sơn, Quảng Ninh, Quảng Bình, 47720",Quảng Ninh,Đúc Tuân là khách sạn tại Quảng Ninh.,Đúc Tuân Du lịch khách sạn Quảng Ninh Quảng Trị
QT_00045,Pub With Cold Beer,Ẩm thực,quán pub,17.5982371,106.3635278,"Hưng Trạch, Bố Trạch, Quảng Bình",Bố Trạch,Pub With Cold Beer là quán pub tại Bố Trạch.,Pub With Cold Beer Ẩm thực quán pub Bố Trạch Quảng Trị
QT_00046,Thao Son Quan,Ẩm thực,nhà hàng,16.8196765,107.0986029,"Đường Hùng Vương, Phường 1, Đông Hà, Quảng Trị, 48106",Đông Hà,Thao Son Quan là nhà hàng tại Đông Hà.,Thao Son Quan Ẩm thực nhà hàng Đông Hà Quảng Trị
QT_00047,Village House,Du lịch,nhà khách/homestay,17.6163639,106.3212616,"Đường Quốc Lộ 15, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Village House là nhà khách/homestay tại Bố Trạch.,Village House Du lịch nhà khách/homestay Bố Trạch Quảng Trị
QT_00048,Bamboo Cafe,Ẩm thực,nhà hàng,17.6102871,106.3101756,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Bamboo Cafe là nhà hàng tại Bố Trạch.,Bamboo Cafe Ẩm thực nhà hàng Bố Trạch Quảng Trị
QT_00049,Monkey pub (Pool),Ẩm thực,quán pub,17.6096384,106.3120005,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Monkey pub (Pool) là quán pub tại Bố Trạch.,Monkey pub (Pool) Ẩm thực quán pub Bố Trạch Quảng Trị
QT_00050,Thach Thao Coffee & Fast food,Ẩm thực,quán cà phê,17.4652696,106.6202714,"Đường Nguyễn Trãi, Quảng Bình, Hải Đình, Đồng Hới, Quảng Bình, 47117",Đồng Hới,Thach Thao Coffee & Fast food là quán cà phê tại Đồng Hới.,Thach Thao Coffee & Fast food Ẩm thực quán cà phê Đồng Hới Quảng Trị
QT_00051,Nhu Y Restaurant,Ẩm thực,nhà hàng,17.4773433,106.622824,"Quán Hà Nội Minh Tầu, 5 Đường Lê Quý Đôn, Đồng Mỹ, Hải Đình, Đồng Hới, Quảng Bình",Đồng Hới,Nhu Y Restaurant là nhà hàng tại Đồng Hới.,Nhu Y Restaurant Ẩm thực nhà hàng Đồng Hới Quảng Trị
QT_00052,Quang Binh Forest Ranger Guest House,Du lịch,nhà khách/homestay,17.5104721,106.6133117,"Đường Trương Pháp, Quang Phú, Đồng Hới, Quảng Bình, 47120",Đồng Hới,Quang Binh Forest Ranger Guest House là nhà khách/homestay tại Đồng Hới.,Quang Binh Forest Ranger Guest House Du lịch nhà khách/homestay Đồng Hới Quảng Trị
QT_00053,Ho Khanh's homestay,Du lịch,nhà khách/homestay,17.5950168,106.2863254,"Đường Tỉnh Lộ 562, Sơn Trạch, Bố Trạch, Quảng Bình, 47232",Bố Trạch,Ho Khanh's homestay là nhà khách/homestay tại Bố Trạch.,Ho Khanh's homestay Du lịch nhà khách/homestay Bố Trạch Quảng Trị
QT_00054,Chày Lập Farmstay,Du lịch,khách sạn,17.6016656,106.2546929,"Phúc Trạch, Bố Trạch, Quảng Bình",Bố Trạch,Chày Lập Farmstay là khách sạn tại Bố Trạch.,Chày Lập Farmstay Du lịch khách sạn Bố Trạch Quảng Trị
