id,name,domain,category_vi,latitude,longitude,address,district,province,description,search_text
CB_00001,Bảo tàng Pắc Bó,Du lịch,bảo tàng,22.9778315,106.0512153,"Đường Hồ Chí Minh, Trường Hà, Hà Quảng, Cao Bằng, 21214",Hà Quảng,Cao Bằng,"Bảo tàng Pắc Bó là bảo tàng tại Hà Quảng, Cao Bằng.",Bảo tàng Pắc Bó Du lịch bảo tàng Hà Quảng Cao Bằng
CB_00002,Thanh Loan Hotel,Du lịch,khách sạn,22.6674465,106.260718,"Khách Sạn Thành Loan, 131 Phố Vườn Cam, Hợp Giang, Cao Bằng, 21106",Cao Bằng,Cao Bằng,"Thanh Loan Hotel là khách sạn tại Cao Bằng, Cao Bằng.",Thanh Loan Hotel Du lịch khách sạn Cao Bằng Cao Bằng
CB_00003,Son Dong Rest,Ẩm thực,nhà hàng,22.6278877,105.9117866,"Tỉnh Lộ 212, Tĩnh Túc, Nguyên Bình, Cao Bằng, 21514",Nguyên Bình,Cao Bằng,"Son Dong Rest là nhà hàng tại Nguyên Bình, Cao Bằng.",Son Dong Rest Ẩm thực nhà hàng Nguyên Bình Cao Bằng
CB_00004,Son Dong Nha Nghi,Du lịch,nhà khách/homestay,22.628289,105.9115976,"Quốc Lộ 34, Tĩnh Túc, Nguyên Bình, Cao Bằng, 21514",Nguyên Bình,Cao Bằng,"Son Dong Nha Nghi là nhà khách/homestay tại Nguyên Bình, Cao Bằng.",Son Dong Nha Nghi Du lịch nhà khách/homestay Nguyên Bình Cao Bằng
CB_00005,Thuy Duong Hotel,Du lịch,khách sạn,22.9475128,105.6781393,"Bảo Lạc, Cao Bằng",Bảo Lạc,Cao Bằng,"Thuy Duong Hotel là khách sạn tại Bảo Lạc, Cao Bằng.",Thuy Duong Hotel Du lịch khách sạn Bảo Lạc Cao Bằng
CB_00006,Song Gam Hotel,Du lịch,khách sạn,22.9553639,105.6805544,"Quốc Lộ 34, Bảo Lạc, Cao Bằng, 21356",Bảo Lạc,Cao Bằng,"Song Gam Hotel là khách sạn tại Bảo Lạc, Cao Bằng.",Song Gam Hotel Du lịch khách sạn Bảo Lạc Cao Bằng
CB_00007,Anh Tuan,Ẩm thực,nhà hàng,22.9515369,105.6814753,"Quốc Lộ 34, Bảo Lạc, Cao Bằng, 21356",Bảo Lạc,Cao Bằng,"Anh Tuan là nhà hàng tại Bảo Lạc, Cao Bằng.",Anh Tuan Ẩm thực nhà hàng Bảo Lạc Cao Bằng
CB_00008,Khách sạn Đức Tài,Du lịch,khách sạn,22.9474113,105.6800155,"Quốc Lộ 34, Bảo Lạc, Cao Bằng, 21356",Bảo Lạc,Cao Bằng,"Khách sạn Đức Tài là khách sạn tại Bảo Lạc, Cao Bằng.",Khách sạn Đức Tài Du lịch khách sạn Bảo Lạc Cao Bằng
CB_00009,Viet Hoang Guesthouse,Du lịch,khách sạn,22.9507931,105.6814179,"Nhà Nghỉ Việt Hoàng, Quốc Lộ 34, Bảo Lạc, Cao Bằng, 21356",Bảo Lạc,Cao Bằng,"Viet Hoang Guesthouse là khách sạn tại Bảo Lạc, Cao Bằng.",Viet Hoang Guesthouse Du lịch khách sạn Bảo Lạc Cao Bằng
CB_00010,Quy Anh Hotel,Du lịch,khách sạn,22.9470115,105.6811441,"ĐT.217, Bảo Lạc, Cao Bằng, 21356",Bảo Lạc,Cao Bằng,"Quy Anh Hotel là khách sạn tại Bảo Lạc, Cao Bằng.",Quy Anh Hotel Du lịch khách sạn Bảo Lạc Cao Bằng
CB_00011,Tuyet Niem Restaurant,Ẩm thực,nhà hàng,22.6869776,106.4407652,"Quốc Lộ 3, Chí Thảo, Quảng Uyên, Cao Bằng, 21921",Quảng Uyên,Cao Bằng,"Tuyet Niem Restaurant là nhà hàng tại Quảng Uyên, Cao Bằng.",Tuyet Niem Restaurant Ẩm thực nhà hàng Quảng Uyên Cao Bằng
